time,size
0.0,510
0.14010405540466309,327011
403.3510649204254,168
435.0865058898926,2906
435.4207351207733,38926
435.64930391311646,1921
435.6494069099426,1512
436.09598302841187,6363
437.57998394966125,1262
437.63203287124634,225615
438.6579520702362,1004
438.66700410842896,40764
438.66704988479614,707
438.66709303855896,3420
438.6671669483185,7114
438.67127895355225,1107
438.75763297080994,3170
438.7576720714569,16535
438.75770592689514,1988
438.7577509880066,132995
438.7578229904175,35823
438.76187896728516,4491
438.82491993904114,538
439.07558608055115,444
439.11552906036377,80208
439.1233899593353,763
439.1280620098114,1534
439.12810802459717,946
439.1281490325928,1543
439.1281850337982,918
439.14543986320496,1729
439.1941180229187,1373
439.19418597221375,621
439.19422006607056,923
439.1942620277405,992
439.20869994163513,699
439.208703994751,741
439.2087080478668,1550
439.20871210098267,1541
439.2826499938965,5492
439.2827789783478,1665
439.2904739379883,1539
439.30108284950256,1034
439.3667559623718,1750
439.8611309528351,987
442.8664638996124,444
449.95325803756714,1857
451.14772391319275,810
451.5453908443451,928
451.67650508880615,850
451.89181208610535,892
453.15147399902344,444
453.4454629421234,64869
453.7105691432953,116690
453.7151110172272,5240
453.7211790084839,2068
453.72122597694397,89484
453.7212669849396,1716
453.7213101387024,130594
453.84651494026184,8353
453.8769450187683,1851
453.88408517837524,26432
454.0076069831848,6564
454.60952496528625,1175
454.60957193374634,1398
465.6444890499115,1298
466.047238111496,292483
467.4276168346405,22450
467.46079897880554,42564
467.469279050827,11553
467.4692838191986,2958
467.46928811073303,1151
467.4692919254303,2513
467.46929597854614,2546
468.6255440711975,1662
468.6256010532379,2151
468.62947392463684,634
468.6397879123688,2168
468.63983607292175,2137
468.6631209850311,2288
468.8516159057617,2582
468.85750699043274,2483
468.86241388320923,1952
468.8624610900879,2383
468.8625030517578,1945
468.9299280643463,2495
469.06261110305786,2893
469.06853008270264,2179
469.06853795051575,626
469.0685739517212,732
469.11412715911865,743
469.1142020225525,747
469.20061016082764,2784
469.2152409553528,732
469.2152819633484,1651
469.2595570087433,1398
469.2596080303192,687
469.259644985199,1225
469.31613206863403,855
469.37167620658875,1710
469.3717498779297,1713
469.38205313682556,1822
469.3869318962097,1591
545.9273390769958,1152
546.2210440635681,64816
554.757003068924,1354
554.9867088794708,286673
556.53551197052,730
605.0477261543274,6800
605.0519089698792,753
605.0519530773163,3482
613.3913588523865,1422
613.8328728675842,70967
614.3739879131317,27220
614.3811659812927,2129
614.5035140514374,72230
614.5035681724548,179000
614.5100059509277,5286
614.5100531578064,1683
614.5153729915619,8594
614.5153770446777,1689
614.6273951530457,20582
614.6759440898895,2788
615.2772510051727,2494
617.3960762023926,1850
662.2220668792725,126542
667.0655760765076,15130
667.0702660083771,4775
667.0846011638641,3065
667.2635419368744,2523
667.3890149593353,1975
667.4148020744324,2734
670.0810461044312,1945
671.7556328773499,131308
672.1931910514832,41478
672.4584560394287,36155
672.721470117569,2840
672.8503148555756,16520
673.3027808666229,11438
673.3081159591675,1483
673.3081541061401,1158
673.3081932067871,1646
673.3173079490662,639
673.3173539638519,642
673.5078568458557,1102
673.5079519748688,1172
673.7312870025635,1172
673.8899068832397,2289
674.0857129096985,703
675.6654360294342,431
701.9298009872437,488
702.8298211097717,142855
703.9471790790558,13991
724.7454180717468,254450
725.7083690166473,14613
725.7084259986877,24358
725.7915270328522,27046
725.7996351718903,2729
726.6413769721985,655
726.6917109489441,3320
726.6917550563812,5290
726.6917970180511,3588
726.7051808834076,4058
727.0559370517731,503
750.9452180862427,1422
751.2914011478424,70093
756.4052338600159,6822
1014.5077030658722,254502
1016.3264150619507,3320
1016.3264620304108,5290
1016.3299009799957,3588
1016.3345918655396,4006
