time,size
0.0,628
1.0145518779754639,751
3.469130039215088,720
4.277935981750488,643
5.127410888671875,796
7.16697096824646,632
7.9300220012664795,745
9.55511212348938,725
10.633376836776733,685
11.292041063308716,684
12.063272953033447,705
13.892390966415405,635
14.685976028442383,634
15.48264479637146,605
16.292598962783813,695
17.527430057525635,639
18.30954384803772,675
19.128074884414673,720
19.941069841384888,681
22.14586901664734,643
22.767988920211792,798
24.0461528301239,676
24.63927912712097,676
25.45027208328247,762
26.25582790374756,720
26.870688915252686,636
27.662669897079468,645
28.498068809509277,722
29.86395788192749,722
35.33606505393982,672
37.21539902687073,725
38.06263494491577,641
39.02106499671936,592
40.23966312408447,605
41.06020998954773,563
41.86362600326538,685
42.676650047302246,672
43.453011989593506,632
44.29407787322998,683
45.12206697463989,680
45.91877293586731,685
46.50961780548096,720
47.122678995132446,681
47.95256495475769,717
49.00083804130554,746
50.2229061126709,605
51.05778193473816,605
51.84546494483948,675
52.66806507110596,1132
54.483269929885864,722
56.32531404495239,646
57.12387490272522,603
57.73088812828064,680
58.62250089645386,645
60.02728009223938,752
66.31465792655945,588
69.46828007698059,595
70.5302939414978,723
71.4773018360138,635
72.2714490890503,612
74.48675513267517,641
75.91900086402893,720
76.54617214202881,680
77.34626078605652,726
78.11414289474487,592
78.74591898918152,682
79.53726196289062,645
80.38583707809448,636
81.1984748840332,685
81.79110288619995,642
82.57661199569702,672
83.43489193916321,636
84.24674701690674,760
84.85620498657227,596
85.68428111076355,682
86.46717596054077,632
87.29615807533264,645
88.09758710861206,596
88.69779896736145,636
180.36400699615479,636
183.4451620578766,691
184.8664448261261,640
185.75298595428467,722
186.38515400886536,635
187.21514892578125,611
188.93084383010864,636
189.66726899147034,848
191.04271793365479,652
193.13376212120056,643
193.9216070175171,643
194.57395601272583,588
195.42008900642395,720
196.9962658882141,672
197.82345509529114,723
198.60433793067932,667
199.21887588500977,686
200.04249811172485,675
200.6231348514557,635
201.30482697486877,595
202.06194400787354,640
202.88461303710938,676
203.69976592063904,676
204.52056097984314,643
205.33998703956604,676
206.15390491485596,645
206.96528005599976,596
207.78176879882812,636
240.9229199886322,596
246.0732650756836,595
248.0845160484314,598
250.0998020172119,606
250.86547780036926,592
251.67814087867737,596
252.47840285301208,725
253.30880188941956,635
254.1896460056305,681
254.9498770236969,703
257.97425508499146,932
259.8093910217285,685
260.60707116127014,710
261.81743001937866,596
262.64386081695557,645
263.4524290561676,596
264.123006105423,605
264.92085695266724,676
265.5364339351654,604
266.3430829048157,635
266.9525899887085,643
267.76407194137573,785
301.2266080379486,774
310.5705919265747,683
314.171669960022,675
314.87166690826416,685
315.7171719074249,588
316.55797386169434,645
317.34088492393494,686
318.15189695358276,723
318.95904302597046,641
319.56444907188416,595
320.37949895858765,686
321.1998121738434,720
321.82796692848206,744
323.0274908542633,676
323.8297598361969,634
325.0919380187988,636
325.9182050228119,683
326.5140759944916,643
327.326180934906,603
328.13778805732727,686
391.13132405281067,629
399.8432230949402,994
402.84233808517456,675
403.61320996284485,643
404.36345505714417,709
406.08790707588196,720
406.78511214256287,605
407.6063959598541,635
408.6386570930481,721
409.47340297698975,595
410.3510229587555,643
411.0685248374939,637
411.8735430240631,635
412.4960949420929,640
413.2968089580536,628
414.0960419178009,628
414.9866769313812,633
415.75314712524414,676
416.55832695961,717
418.40478706359863,584
480.6774799823761,686
484.6514267921448,804
490.59293389320374,605
491.39266300201416,704
492.6227149963379,686
494.4415979385376,636
495.25442910194397,721
495.9333908557892,680
496.71525406837463,605
497.5112929344177,892
499.3555579185486,763
500.35535192489624,595
501.01349806785583,596
501.8205099105835,645
502.62758898735046,606
503.46511602401733,670
505.085431098938,692
507.3000719547272,635
508.10495495796204,632
508.91776990890503,756
539.878350019455,603
540.7184739112854,683
541.4813890457153,632
542.4524059295654,645
543.312814950943,672
544.120532989502,1134
