time,size
0.0,788
2.0928761959075928,683
3.0630271434783936,722
4.073107004165649,680
4.89817214012146,636
5.5753021240234375,676
6.302987098693848,685
7.070174932479858,781
13.42096495628357,636
14.163089036941528,1170
15.472177982330322,716
16.284638166427612,762
17.235120058059692,645
18.053559064865112,720
19.7430739402771,645
20.396279096603394,723
21.005972146987915,433
21.208075046539307,761
22.65862488746643,636
23.27786922454834,762
24.04072904586792,636
24.661134243011475,682
25.340380907058716,721
25.939382076263428,685
26.708770036697388,676
27.46182107925415,636
41.28594994544983,715
42.144935131073,760
43.12710213661194,646
44.14465594291687,761
45.17851710319519,645
46.198240995407104,708
47.20657706260681,675
48.17974090576172,683
49.64492201805115,634
50.52158808708191,675
51.36501407623291,627
52.080289125442505,706
53.27974009513855,603
54.091734170913696,683
55.11885690689087,680
55.968173027038574,535
56.77389407157898,677
57.590909242630005,649
71.93489003181458,595
72.66408014297485,686
75.55371022224426,672
76.34939408302307,676
77.15201997756958,677
77.79216814041138,675
78.59027910232544,680
79.39638304710388,682
80.25460600852966,635
81.01461601257324,637
81.82962203025818,635
82.64383006095886,686
83.26905703544617,596
84.10461711883545,685
84.86258292198181,639
85.67543911933899,636
86.49556303024292,635
87.33416199684143,680
101.62239217758179,684
103.2161021232605,632
104.19369602203369,863
106.04955315589905,635
106.73997116088867,632
107.50710606575012,632
108.37646007537842,708
109.68890309333801,636
110.59714102745056,670
111.39071106910706,641
112.19690299034119,722
113.22124600410461,1330
117.43994092941284,726
131.1505630016327,642
134.76596808433533,685
136.7362620830536,722
138.91788697242737,833
141.00320506095886,722
142.02938103675842,645
143.21609497070312,764
144.4307701587677,760
145.44222211837769,686
146.68989896774292,760
147.88349413871765,800
273.22423005104065,631
300.1362040042877,697
333.68973422050476,680
361.9548330307007,636
575.4464540481567,763
695.4071860313416,631
1978.604068994522,636
1979.6572489738464,712
1980.5026450157166,635
1981.2908389568329,636
1982.1276931762695,680
1982.9247522354126,632
1983.7248389720917,683
1984.6201920509338,635
1985.4529860019684,682
1986.274598121643,672
1986.8667290210724,636
1987.6819739341736,636
1988.4897499084473,675
1989.0972900390625,675
1989.8997299671173,668
1990.7126619815826,681
1991.5515842437744,633
1992.3665261268616,676
1993.1598181724548,680
1993.9649729728699,635
1994.7788078784943,837
1996.195447921753,595
