time,size
0.0,1841
11.297420978546143,2948
15.210000038146973,1775
15.590921878814697,1506
15.590926885604858,1973
15.592357873916626,1559
15.593739986419678,1533
15.594743967056274,1506
100.0766088962555,2169
107.22069692611694,2086
117.52176690101624,2173
129.20914888381958,2507
138.4053659439087,2075
141.3805389404297,2821
142.94483494758606,1680
143.1793658733368,1638
143.23469305038452,1451
143.27422904968262,1464
143.2748019695282,1478
143.2754409313202,1451
247.66223287582397,1885
433.70506477355957,1392
433.8642439842224,1038
433.88105392456055,996
433.8814790248871,1728
433.8824419975281,1042
433.9152920246124,1239
433.9154999256134,1565
433.9630699157715,955
433.9921729564667,1282
434.0069501399994,1036
434.0417308807373,1073
434.06334590911865,1404
434.10307097435,1085
434.18277883529663,1080
434.18401193618774,1003
434.1870858669281,1916
434.193030834198,959
434.2120010852814,959
434.2417359352112,1002
434.309681892395,957
434.40634393692017,1006
434.40643882751465,963
434.40932393074036,1009
434.41046380996704,1010
434.4109809398651,966
434.41668176651,966
434.51772904396057,965
434.5467119216919,962
434.5473530292511,1044
434.5808620452881,959
434.5811860561371,1241
434.8838789463043,1099
434.9153907299042,1116
486.62497186660767,2058
487.2199671268463,1473
487.2292709350586,1465
487.2301769256592,1470
487.2304849624634,1473
487.235063791275,1474
487.24047088623047,1473
487.38859391212463,1477
487.3890459537506,1467
512.1556370258331,3057
513.5842590332031,1656
513.7916510105133,1615
513.9277808666229,1587
513.929584980011,1560
513.9302179813385,1588
513.9924759864807,1590
513.9937689304352,1585
514.4219539165497,1584
514.6081199645996,1580
514.6097059249878,1705
514.6221590042114,1549
514.6257450580597,1662
514.7150738239288,1550
514.7212839126587,1545
514.722865819931,1544
514.7352509498596,1549
514.757071018219,1591
514.8167300224304,2057
515.0309729576111,1757
515.0337870121002,1760
515.0367147922516,1837
515.0379250049591,1544
515.0421099662781,1543
515.2857270240784,1954
515.3966069221497,1354
515.3983888626099,1355
515.3988518714905,1353
515.3999137878418,1396
515.4482710361481,1396
515.6086058616638,1871
515.6094501018524,1404
515.660542011261,1457
515.6699879169464,1431
515.6732800006866,1469
515.9338591098785,1428
515.9345729351044,1428
515.9727139472961,1473
515.9987568855286,1474
516.0539989471436,1496
516.055095911026,1448
516.2587959766388,1476
516.2754249572754,1432
516.2758469581604,1468
516.3841488361359,1474
569.8902568817139,2340
570.2099709510803,2553
570.3527460098267,1849
570.3559939861298,1840
570.7924869060516,2491
585.2480487823486,2753
586.43323802948,1659
586.736270904541,2866
586.736624956131,1430
586.7375431060791,1443
586.7387840747833,1457
586.7389180660248,2652
609.2021689414978,2345
616.0375108718872,2781
617.5117328166962,1682
617.6059219837189,1452
617.6836020946503,1465
617.7002439498901,1479
641.5072920322418,1570
641.5450608730316,1570
644.4387538433075,2662
647.076831817627,1626
647.0791530609131,1629
647.0820100307465,1706
647.4226698875427,1973
647.4322440624237,1506
647.4869630336761,1559
647.4971969127655,1533
647.6386818885803,1571
691.0763409137726,2406
691.3754148483276,2585
710.4344899654388,1976
716.5553827285767,2282
724.9727058410645,2804
727.0755839347839,1697
727.4816238880157,1695
727.4930069446564,1428
727.4932749271393,1441
727.4943408966064,1455
727.4945590496063,1428
730.0299680233002,2766
732.1382479667664,1660
732.3257439136505,1430
732.3784959316254,1443
732.3811628818512,1457
788.3329977989197,1902
789.5861780643463,1626
789.5893750190735,1629
789.5917649269104,1706
789.9079139232635,1973
789.9168739318848,1506
789.9693148136139,1559
790.6087369918823,1571
790.6102778911591,1533
792.5228180885315,1472
797.4083118438721,2804
797.9279079437256,2662
799.1699299812317,1657
799.4509599208832,1695
799.5286979675293,1428
799.5556647777557,1441
799.5559189319611,1455
799.5569219589233,1428
799.6415579319,1626
799.6441988945007,1629
799.6469850540161,1706
799.9619870185852,1973
799.9705739021301,1506
800.025603055954,1559
800.169084072113,1571
800.1697299480438,1533
818.8560619354248,2272
819.149327993393,2413
823.5537407398224,2662
824.812891960144,1626
824.8155539035797,1629
824.8177318572998,1706
825.1277649402618,1973
825.1368179321289,1506
825.1888110637665,1559
825.3288450241089,1533
825.330559015274,1571
828.6542539596558,2414
828.9407639503479,2601
840.477796792984,2405
842.515517950058,2662
843.388326883316,1626
843.3927547931671,1629
843.3946318626404,1706
843.711277961731,1973
843.7202978134155,1506
843.7726058959961,1559
843.9211659431458,1571
843.922544002533,1533
852.3108539581299,2414
852.9010698795319,2601
876.5318977832794,3203
878.0444180965424,1848
878.0469858646393,1851
878.0495688915253,1928
878.3807349205017,1979
878.3819558620453,1502
878.4260449409485,1555
878.5734269618988,1567
878.5747339725494,1529
895.2492671012878,2097
900.4048907756805,1708
900.7960779666901,1946
900.844053030014,1479
900.8739528656006,1492
900.8740639686584,1506
900.8752200603485,1479
923.5146889686584,2094
923.7576839923859,2274
942.2389807701111,2322
942.5734689235687,2485
984.3914158344269,2228
989.7566940784454,2881
990.8285930156708,1767
990.9993269443512,1685
991.046190738678,1498
991.0862638950348,1525
991.0876657962799,1498
991.0910670757294,1511
1004.4290699958801,2843
1006.3902077674866,1770
1006.5699520111084,1500
1006.618026971817,1513
1006.6203210353851,1527
1088.8492958545685,1951
