0.039,0.051,0.101,0.104,0.063,0.084,0.050,0.100,0.093,0.155,0.210,0.150,0.051,0.127,0.152,0.133,0.211,0.219,0.147,0.117,0.127,0.087,0.173,0.056,0.077,0.158,0.218,0.186,0.236,0.043,0.190,0.146
0.020,0.032,0.082,0.085,0.044,0.066,0.031,0.081,0.074,0.136,0.191,0.131,0.032,0.108,0.133,0.150,0.193,0.238,0.128,0.098,0.108,0.068,0.154,0.071,0.058,0.139,0.199,0.167,0.217,0.062,0.171,0.127
0.016,0.026,0.076,0.078,0.037,0.059,0.024,0.074,0.067,0.129,0.185,0.124,0.025,0.101,0.126,0.157,0.186,0.244,0.121,0.091,0.102,0.062,0.147,0.079,0.051,0.132,0.192,0.160,0.210,0.068,0.164,0.120
0.017,0.021,0.068,0.070,0.029,0.051,0.022,0.066,0.059,0.121,0.177,0.116,0.020,0.093,0.118,0.165,0.178,0.253,0.113,0.083,0.094,0.053,0.139,0.087,0.043,0.124,0.184,0.152,0.202,0.077,0.156,0.112
0.024,0.023,0.053,0.055,0.030,0.042,0.028,0.051,0.044,0.105,0.161,0.100,0.026,0.077,0.102,0.180,0.162,0.269,0.097,0.068,0.078,0.045,0.124,0.102,0.038,0.108,0.168,0.136,0.186,0.093,0.140,0.096
0.038,0.050,0.101,0.103,0.062,0.084,0.049,0.099,0.092,0.155,0.210,0.149,0.050,0.126,0.151,0.132,0.211,0.219,0.146,0.116,0.127,0.087,0.172,0.054,0.076,0.157,0.217,0.185,0.236,0.043,0.189,0.145
0.018,0.030,0.080,0.083,0.042,0.063,0.029,0.079,0.072,0.134,0.189,0.129,0.030,0.106,0.131,0.152,0.190,0.240,0.126,0.096,0.106,0.066,0.152,0.074,0.056,0.137,0.197,0.165,0.215,0.064,0.169,0.125
0.023,0.016,0.043,0.045,0.015,0.027,0.014,0.041,0.035,0.097,0.152,0.091,0.014,0.068,0.094,0.189,0.153,0.277,0.088,0.059,0.069,0.029,0.115,0.110,0.022,0.100,0.159,0.127,0.178,0.101,0.131,0.087
0.022,0.035,0.085,0.087,0.047,0.068,0.034,0.083,0.077,0.139,0.194,0.134,0.034,0.110,0.136,0.147,0.195,0.235,0.131,0.101,0.111,0.071,0.157,0.069,0.061,0.142,0.201,0.170,0.220,0.059,0.174,0.130
0.047,0.043,0.040,0.041,0.039,0.037,0.039,0.041,0.040,0.073,0.129,0.069,0.040,0.046,0.070,0.213,0.130,0.300,0.065,0.042,0.047,0.037,0.091,0.135,0.037,0.077,0.136,0.104,0.154,0.124,0.108,0.064
