size_interval,size_2,size_3,size_4
0.0112,0.0056,0.0096,0.0237
0.0073,0.0000,0.0000,0.0000
0.0074,0.0020,0.0031,0.0042
0.0134,0.0016,0.0020,0.0023
0.0078,0.0019,0.0041,0.0054
0.0062,0.0000,0.0000,0.0000
0.0032,0.0000,0.0000,0.0000
0.0108,0.0000,0.0000,0.0000
0.0093,0.0027,0.0046,0.0056
0.0061,0.0001,0.0001,0.0001
0.0009,0.0093,0.0135,0.0181
0.0087,0.0000,0.0000,0.0000
0.0074,0.0084,0.0122,0.0160
0.0092,0.0009,0.0017,0.0026
0.0190,0.0035,0.0035,0.0035
0.0109,0.0014,0.0025,0.0040
0.0002,0.0045,0.0121,0.0164
0.0075,0.0000,0.0000,0.0000
0.0124,0.0007,0.0010,0.0014
0.0074,0.0017,0.0195,0.0273
0.0104,0.0000,0.0000,0.0000
0.0169,0.0018,0.0028,0.0039
0.0049,0.0003,0.0005,0.0008
0.0018,0.0063,0.0094,0.0126
0.0109,0.0015,0.0030,0.0054
0.0005,0.0096,0.0145,0.0194
0.0033,0.0000,0.0000,0.0000
0.0026,0.0001,0.0002,0.0003
0.0011,0.0061,0.0146,0.0196
0.0121,0.0000,0.0000,0.0002
0.0016,0.0097,0.0146,0.0195
0.0012,0.0081,0.0120,0.0160
0.0099,0.0001,0.0002,0.0003
0.0031,0.0001,0.0002,0.0003
0.0070,0.0000,0.0000,0.0000
0.0054,0.0000,0.0000,0.0000
0.0090,0.0001,0.0001,0.0002
0.0033,0.0000,0.0000,0.0000
0.0071,0.0002,0.0003,0.0004
0.0025,0.0109,0.0162,0.0214
0.0030,0.0028,0.0051,0.0074
0.0001,0.0000,0.0014,0.0072
0.0004,0.0096,0.0145,0.0194
0.0019,0.0061,0.0092,0.0124
0.0108,0.0021,0.0025,0.0028
0.0007,0.0059,0.0143,0.0204
0.0008,0.0083,0.0127,0.0188
0.0015,0.0058,0.0108,0.0159
0.0001,0.0118,0.0178,0.0238
0.0015,0.0103,0.0148,0.0195
0.0003,0.0000,0.0000,0.0000
0.0002,0.0092,0.0137,0.0183
0.0014,0.0000,0.0000,0.0000
0.0003,0.0128,0.0191,0.0259
0.0001,0.0069,0.0143,0.0270
0.0006,0.0000,0.0000,0.0000
0.0003,0.0009,0.0033,0.0101
0.0010,0.0069,0.0101,0.0134
0.0012,0.0083,0.0121,0.0160
