0.018,0.027,0.038,0.026,0.032,0.026,0.031,0.029,0.032,0.047,0.023,0.023,0.027,0.032,0.043,0.019,0.029,0.035,0.033,0.024
0.010,0.014,0.020,0.010,0.025,0.010,0.022,0.026,0.021,0.026,0.013,0.011,0.014,0.015,0.023,0.015,0.024,0.021,0.021,0.008
0.025,0.019,0.006,0.023,0.017,0.021,0.012,0.020,0.011,0.009,0.023,0.021,0.018,0.022,0.006,0.026,0.016,0.007,0.010,0.021
0.014,0.019,0.024,0.005,0.030,0.014,0.027,0.031,0.027,0.028,0.006,0.005,0.019,0.020,0.025,0.008,0.029,0.025,0.026,0.012
0.025,0.022,0.015,0.038,0.010,0.027,0.011,0.010,0.012,0.023,0.037,0.035,0.021,0.027,0.019,0.037,0.010,0.014,0.012,0.028
0.015,0.024,0.035,0.022,0.031,0.022,0.030,0.028,0.030,0.044,0.019,0.019,0.023,0.027,0.040,0.016,0.028,0.034,0.031,0.020
0.020,0.016,0.010,0.033,0.012,0.022,0.009,0.013,0.008,0.017,0.032,0.030,0.015,0.022,0.014,0.033,0.011,0.010,0.008,0.022
0.027,0.020,0.007,0.027,0.017,0.023,0.012,0.020,0.011,0.011,0.026,0.025,0.019,0.023,0.008,0.030,0.016,0.010,0.010,0.023
0.021,0.014,0.007,0.027,0.013,0.017,0.009,0.016,0.008,0.014,0.028,0.025,0.014,0.018,0.011,0.029,0.012,0.009,0.008,0.018
0.028,0.022,0.008,0.026,0.017,0.024,0.013,0.021,0.012,0.008,0.025,0.024,0.022,0.025,0.006,0.030,0.018,0.009,0.011,0.024
0.018,0.022,0.029,0.008,0.035,0.017,0.032,0.036,0.032,0.029,0.007,0.008,0.023,0.022,0.028,0.010,0.034,0.030,0.031,0.016
0.016,0.021,0.025,0.010,0.030,0.018,0.027,0.031,0.027,0.030,0.007,0.008,0.021,0.024,0.027,0.010,0.029,0.026,0.026,0.015
0.009,0.016,0.028,0.013,0.027,0.014,0.025,0.024,0.025,0.035,0.014,0.012,0.016,0.020,0.032,0.015,0.024,0.027,0.026,0.013
0.010,0.016,0.028,0.016,0.028,0.015,0.026,0.027,0.026,0.036,0.014,0.013,0.016,0.021,0.033,0.013,0.026,0.028,0.026,0.014
0.028,0.022,0.008,0.026,0.018,0.024,0.014,0.022,0.013,0.009,0.025,0.025,0.021,0.026,0.008,0.030,0.018,0.010,0.012,0.024
0.015,0.021,0.025,0.010,0.029,0.016,0.026,0.029,0.026,0.032,0.008,0.008,0.021,0.023,0.029,0.004,0.028,0.025,0.026,0.014
0.024,0.020,0.011,0.035,0.011,0.025,0.009,0.012,0.009,0.019,0.035,0.032,0.019,0.024,0.015,0.035,0.009,0.011,0.009,0.025
0.025,0.019,0.008,0.028,0.015,0.023,0.010,0.018,0.010,0.011,0.027,0.026,0.018,0.023,0.009,0.030,0.015,0.007,0.009,0.023
0.023,0.019,0.012,0.034,0.012,0.024,0.010,0.014,0.010,0.017,0.034,0.031,0.018,0.024,0.014,0.035,0.011,0.011,0.011,0.025
0.013,0.021,0.030,0.020,0.026,0.020,0.025,0.025,0.025,0.040,0.015,0.016,0.020,0.026,0.036,0.014,0.024,0.029,0.026,0.018
