size_interval,size_2,size_3,size_4
0.2480,0.1767,0.4480,0.6442
0.2653,0.1913,0.4500,0.6487
0.2313,0.1151,0.3616,0.6037
0.1984,0.1692,0.4319,0.6307
0.2307,0.1261,0.3701,0.6022
0.2442,0.1706,0.4176,0.6359
0.2389,0.1234,0.3517,0.5889
0.2317,0.1445,0.3522,0.5795
0.2419,0.1273,0.3610,0.6025
0.1536,0.0896,0.3090,0.5605
0.2347,0.1810,0.4689,0.6626
0.2638,0.1932,0.4504,0.6476
0.2647,0.1987,0.4653,0.6597
0.2213,0.1486,0.3871,0.6113
0.1880,0.1020,0.3094,0.5628
0.1350,0.1582,0.4291,0.6344
0.2287,0.1295,0.3447,0.5846
0.2188,0.1115,0.3532,0.6143
0.2198,0.1226,0.3587,0.5903
0.2557,0.1876,0.4388,0.6353
