size_interval,size_2,size_3,size_4
0.2919,0.1142,0.4230,0.6577
0.3849,0.2296,0.5643,0.6770
0.3319,0.1396,0.4920,0.6710
0.4003,0.2140,0.5603,0.6760
0.3337,0.1221,0.4352,0.6500
0.3623,0.1582,0.5156,0.6747
0.3403,0.1307,0.4740,0.6621
0.3227,0.1230,0.4541,0.6619
0.3450,0.1922,0.5415,0.6704
0.3268,0.1242,0.4509,0.6586
0.1003,0.0229,0.0570,0.0999
0.3984,0.2136,0.5567,0.6721
0.3818,0.1687,0.5188,0.6697
0.3400,0.1869,0.5164,0.6603
0.4061,0.2185,0.5722,0.6772
0.3883,0.2107,0.5482,0.6784
0.3930,0.2231,0.5460,0.6772
0.3356,0.1436,0.4469,0.6496
0.3502,0.1459,0.4978,0.6706
0.3841,0.1934,0.5240,0.6607
0.3107,0.1137,0.4365,0.6584
0.4045,0.2394,0.5539,0.6742
0.3528,0.2114,0.5451,0.6699
0.3648,0.1586,0.5100,0.6710
0.0849,0.0119,0.0290,0.0500
0.3608,0.1917,0.5230,0.6627
0.3588,0.2077,0.5400,0.6742
0.3508,0.1439,0.4901,0.6692
0.3069,0.1203,0.4297,0.6594
0.3682,0.1988,0.5318,0.6645
0.3307,0.1683,0.4891,0.6609
0.4316,0.2201,0.5761,0.6754
0.4092,0.2023,0.5300,0.6708
0.1895,0.0314,0.0722,0.1054
0.4145,0.2394,0.5508,0.6699
0.3311,0.1530,0.4781,0.6639
0.3212,0.1209,0.4225,0.6435
0.3314,0.1528,0.4775,0.6631
0.3752,0.1605,0.5041,0.6749
0.3409,0.1894,0.5143,0.6698
0.0484,0.0054,0.0129,0.0262
0.3228,0.1389,0.4517,0.6541
0.3342,0.1151,0.4491,0.6517
0.3565,0.1337,0.4546,0.6586
0.3767,0.2048,0.5655,0.6835
0.4605,0.2816,0.4922,0.5867
0.4808,0.2541,0.5110,0.6530
0.3804,0.2112,0.5528,0.6694
0.5598,0.3017,0.6524,0.6793
0.3904,0.2275,0.5451,0.6656
0.3429,0.1524,0.3156,0.4631
0.3792,0.2205,0.5502,0.6640
0.4808,0.2346,0.5502,0.6770
0.5148,0.2669,0.4449,0.6108
0.4002,0.2119,0.4424,0.6003
0.4609,0.1863,0.3873,0.5577
