0.016,0.033,0.020,0.023,0.016,0.039,0.029,0.026,0.046,0.029,0.033,0.016,0.039,0.021,0.039,0.025,0.039,0.020,0.039,0.020,0.021,0.021,0.027,0.031,0.019,0.039,0.021,0.037,0.022,0.026,0.030,0.030,0.031,0.021,0.026,0.020,0.046,0.029,0.034,0.027,0.020,0.043,0.021,0.022,0.060,0.026,0.019,0.035,0.022,0.037,0.030,0.037,0.033,0.018,0.064,0.021,0.060,0.064,0.029,0.044,0.032,0.019,0.038,0.026,0.019,0.030,0.035,0.026,0.021,0.037,0.019,0.033,0.018,0.021,0.064,0.019,0.020,0.043,0.023,0.060,0.044,0.026,0.037,0.049,0.027,0.041,0.057,0.020,0.037,0.031,0.030,0.018,0.049,0.023,0.039,0.022,0.020,0.037,0.038,0.033,0.046,0.026,0.022,0.023,0.037,0.032,0.021,0.029,0.035,0.064,0.044,0.019,0.026,0.038,0.019
0.034,0.019,0.035,0.030,0.034,0.033,0.040,0.026,0.046,0.030,0.028,0.034,0.046,0.034,0.046,0.039,0.050,0.035,0.046,0.040,0.032,0.034,0.037,0.032,0.042,0.046,0.035,0.052,0.028,0.033,0.041,0.024,0.024,0.029,0.038,0.040,0.046,0.040,0.047,0.028,0.035,0.064,0.033,0.038,0.054,0.033,0.042,0.039,0.039,0.017,0.041,0.052,0.028,0.036,0.056,0.033,0.054,0.069,0.040,0.031,0.040,0.042,0.036,0.026,0.033,0.041,0.029,0.039,0.032,0.052,0.033,0.034,0.040,0.033,0.069,0.033,0.035,0.064,0.028,0.054,0.031,0.038,0.021,0.057,0.028,0.058,0.052,0.040,0.052,0.032,0.041,0.040,0.057,0.028,0.042,0.028,0.040,0.031,0.021,0.019,0.046,0.026,0.039,0.031,0.021,0.035,0.033,0.030,0.029,0.056,0.031,0.033,0.039,0.036,0.033
0.061,0.061,0.046,0.044,0.061,0.041,0.070,0.051,0.087,0.063,0.055,0.061,0.082,0.044,0.082,0.070,0.044,0.046,0.082,0.070,0.048,0.044,0.063,0.066,0.062,0.082,0.057,0.084,0.045,0.061,0.060,0.058,0.056,0.046,0.070,0.070,0.087,0.070,0.078,0.041,0.046,0.093,0.054,0.048,0.097,0.061,0.062,0.031,0.048,0.052,0.060,0.084,0.055,0.059,0.099,0.054,0.097,0.110,0.070,0.028,0.037,0.062,0.071,0.051,0.053,0.060,0.034,0.071,0.048,0.084,0.053,0.070,0.060,0.054,0.110,0.053,0.046,0.093,0.045,0.097,0.069,0.070,0.041,0.090,0.041,0.094,0.094,0.050,0.084,0.066,0.060,0.060,0.090,0.045,0.031,0.045,0.050,0.033,0.041,0.061,0.087,0.051,0.048,0.048,0.041,0.044,0.054,0.063,0.034,0.099,0.028,0.053,0.071,0.071,0.053
0.037,0.049,0.031,0.021,0.037,0.047,0.047,0.028,0.065,0.048,0.033,0.037,0.059,0.026,0.059,0.048,0.022,0.031,0.059,0.046,0.029,0.026,0.048,0.049,0.039,0.059,0.033,0.060,0.029,0.041,0.047,0.040,0.038,0.030,0.046,0.046,0.065,0.047,0.054,0.029,0.031,0.069,0.033,0.025,0.078,0.041,0.039,0.026,0.038,0.045,0.047,0.060,0.033,0.040,0.082,0.033,0.078,0.086,0.047,0.033,0.022,0.039,0.058,0.028,0.033,0.047,0.031,0.049,0.029,0.060,0.033,0.052,0.037,0.033,0.086,0.033,0.031,0.069,0.031,0.078,0.062,0.046,0.036,0.070,0.029,0.070,0.075,0.037,0.060,0.049,0.047,0.037,0.070,0.031,0.046,0.029,0.037,0.036,0.033,0.049,0.065,0.028,0.038,0.027,0.036,0.020,0.033,0.048,0.031,0.082,0.033,0.033,0.049,0.058,0.033
0.027,0.041,0.040,0.046,0.027,0.060,0.029,0.041,0.023,0.034,0.044,0.027,0.016,0.045,0.016,0.024,0.062,0.040,0.016,0.025,0.040,0.045,0.031,0.032,0.026,0.016,0.033,0.018,0.044,0.031,0.028,0.041,0.040,0.043,0.025,0.025,0.023,0.029,0.018,0.048,0.040,0.031,0.033,0.046,0.034,0.031,0.026,0.063,0.040,0.049,0.028,0.018,0.044,0.031,0.038,0.033,0.034,0.032,0.029,0.064,0.055,0.026,0.029,0.041,0.035,0.028,0.058,0.024,0.040,0.018,0.035,0.028,0.029,0.033,0.032,0.035,0.040,0.031,0.045,0.034,0.032,0.025,0.054,0.026,0.048,0.023,0.032,0.037,0.018,0.032,0.028,0.029,0.026,0.045,0.062,0.044,0.037,0.060,0.054,0.041,0.023,0.041,0.040,0.042,0.054,0.050,0.033,0.034,0.058,0.038,0.064,0.035,0.024,0.029,0.035
0.048,0.044,0.035,0.037,0.048,0.012,0.053,0.045,0.069,0.044,0.055,0.048,0.065,0.041,0.065,0.056,0.058,0.035,0.065,0.055,0.041,0.041,0.049,0.047,0.049,0.065,0.047,0.068,0.042,0.043,0.044,0.046,0.041,0.039,0.056,0.055,0.069,0.053,0.062,0.031,0.035,0.079,0.040,0.052,0.077,0.043,0.049,0.042,0.035,0.038,0.044,0.068,0.055,0.045,0.079,0.040,0.077,0.093,0.053,0.038,0.050,0.049,0.053,0.045,0.038,0.044,0.032,0.056,0.041,0.068,0.038,0.052,0.049,0.040,0.093,0.038,0.035,0.079,0.032,0.077,0.049,0.056,0.032,0.074,0.031,0.079,0.074,0.037,0.068,0.047,0.044,0.049,0.074,0.032,0.022,0.042,0.037,0.025,0.036,0.044,0.069,0.045,0.035,0.048,0.032,0.052,0.040,0.044,0.032,0.079,0.038,0.038,0.056,0.053,0.038
0.109,0.119,0.123,0.127,0.109,0.142,0.099,0.124,0.097,0.119,0.117,0.109,0.096,0.126,0.096,0.103,0.140,0.123,0.096,0.101,0.122,0.126,0.107,0.109,0.109,0.096,0.115,0.087,0.124,0.115,0.111,0.121,0.122,0.125,0.102,0.101,0.097,0.099,0.092,0.131,0.123,0.076,0.117,0.122,0.093,0.115,0.109,0.142,0.122,0.131,0.111,0.087,0.117,0.112,0.095,0.117,0.093,0.075,0.099,0.148,0.133,0.109,0.103,0.124,0.117,0.111,0.141,0.102,0.122,0.087,0.117,0.114,0.108,0.117,0.075,0.117,0.123,0.076,0.127,0.093,0.116,0.102,0.139,0.085,0.131,0.089,0.095,0.120,0.087,0.109,0.111,0.108,0.085,0.127,0.145,0.124,0.120,0.144,0.139,0.119,0.097,0.124,0.122,0.119,0.139,0.130,0.117,0.119,0.141,0.095,0.148,0.117,0.102,0.103,0.117
0.032,0.049,0.029,0.032,0.032,0.054,0.047,0.026,0.065,0.052,0.036,0.032,0.058,0.027,0.058,0.044,0.038,0.029,0.058,0.033,0.030,0.027,0.046,0.048,0.035,0.058,0.034,0.054,0.027,0.043,0.051,0.042,0.040,0.035,0.042,0.033,0.065,0.047,0.051,0.036,0.029,0.059,0.031,0.023,0.078,0.043,0.035,0.035,0.040,0.048,0.051,0.054,0.036,0.033,0.083,0.031,0.078,0.079,0.047,0.043,0.027,0.035,0.059,0.026,0.037,0.051,0.039,0.045,0.030,0.054,0.037,0.052,0.032,0.031,0.079,0.037,0.029,0.059,0.037,0.078,0.062,0.042,0.044,0.067,0.036,0.049,0.076,0.039,0.054,0.048,0.051,0.032,0.067,0.037,0.050,0.027,0.039,0.048,0.039,0.049,0.065,0.026,0.040,0.026,0.044,0.036,0.031,0.052,0.039,0.083,0.043,0.037,0.045,0.059,0.037
0.110,0.115,0.125,0.130,0.110,0.142,0.101,0.124,0.085,0.111,0.117,0.110,0.089,0.130,0.089,0.101,0.146,0.125,0.089,0.106,0.124,0.130,0.109,0.109,0.111,0.089,0.117,0.088,0.129,0.112,0.111,0.119,0.119,0.127,0.103,0.106,0.085,0.101,0.093,0.130,0.125,0.087,0.117,0.128,0.078,0.112,0.111,0.146,0.125,0.125,0.111,0.088,0.117,0.115,0.079,0.117,0.078,0.065,0.101,0.145,0.138,0.111,0.101,0.124,0.119,0.111,0.141,0.100,0.124,0.088,0.119,0.105,0.113,0.117,0.065,0.119,0.125,0.087,0.129,0.078,0.107,0.103,0.136,0.081,0.130,0.093,0.081,0.122,0.088,0.109,0.111,0.113,0.081,0.129,0.146,0.129,0.122,0.144,0.132,0.115,0.085,0.124,0.125,0.124,0.136,0.132,0.117,0.111,0.141,0.079,0.145,0.119,0.100,0.101,0.119
0.034,0.029,0.030,0.020,0.034,0.030,0.042,0.027,0.057,0.031,0.034,0.034,0.054,0.024,0.054,0.043,0.041,0.030,0.054,0.043,0.024,0.024,0.036,0.036,0.037,0.054,0.029,0.057,0.022,0.031,0.035,0.026,0.027,0.019,0.043,0.043,0.057,0.042,0.051,0.026,0.030,0.066,0.032,0.031,0.065,0.031,0.037,0.034,0.031,0.022,0.035,0.057,0.034,0.035,0.065,0.032,0.065,0.082,0.042,0.034,0.035,0.037,0.043,0.027,0.028,0.035,0.026,0.044,0.024,0.057,0.028,0.038,0.035,0.032,0.082,0.028,0.030,0.066,0.019,0.065,0.040,0.043,0.024,0.063,0.026,0.068,0.062,0.032,0.057,0.036,0.035,0.035,0.063,0.019,0.038,0.022,0.032,0.025,0.028,0.029,0.057,0.027,0.031,0.030,0.024,0.029,0.032,0.031,0.026,0.065,0.034,0.028,0.044,0.043,0.028
