0.010,0.086,0.015,0.012,0.010,0.020,0.049,0.059,0.099,0.129,0.070,0.010,0.035,0.021,0.035,0.053,0.024,0.015,0.035,0.024,0.011,0.021,0.016,0.009,0.020,0.035,0.013,0.014,0.011,0.078,0.021,0.144,0.123,0.024,0.060,0.024,0.099,0.049,0.018,0.011,0.015,0.012,0.014,0.011,0.045,0.078,0.020,0.012,0.020,0.127,0.021,0.014,0.070,0.028,0.082,0.014,0.045,0.019,0.049,0.011,0.014,0.020,0.019,0.059,0.016,0.021,0.015,0.054,0.011,0.014,0.016,0.146,0.018,0.014,0.019,0.016,0.015,0.012,0.012,0.045,0.020,0.060,0.147,0.018,0.011,0.035,0.043,0.012,0.014,0.009,0.021,0.018,0.018,0.012,0.019,0.011,0.012,0.021,0.148,0.088,0.099,0.059,0.020,0.013,0.147,0.020,0.014,0.129,0.015,0.082,0.011,0.016,0.054,0.019,0.016
0.014,0.082,0.015,0.013,0.014,0.018,0.045,0.055,0.095,0.125,0.066,0.014,0.032,0.022,0.032,0.049,0.023,0.015,0.032,0.020,0.017,0.022,0.014,0.012,0.019,0.032,0.013,0.012,0.011,0.074,0.021,0.140,0.118,0.023,0.056,0.020,0.095,0.045,0.015,0.016,0.015,0.016,0.015,0.014,0.042,0.074,0.019,0.014,0.021,0.122,0.021,0.012,0.066,0.028,0.079,0.015,0.042,0.017,0.045,0.013,0.013,0.019,0.017,0.055,0.016,0.021,0.015,0.050,0.017,0.012,0.016,0.141,0.015,0.015,0.017,0.016,0.015,0.016,0.011,0.042,0.017,0.056,0.143,0.019,0.016,0.034,0.039,0.011,0.012,0.012,0.021,0.015,0.019,0.011,0.018,0.011,0.011,0.018,0.144,0.083,0.095,0.055,0.021,0.013,0.143,0.019,0.015,0.125,0.015,0.079,0.013,0.016,0.050,0.017,0.016
0.019,0.093,0.022,0.016,0.019,0.027,0.056,0.066,0.105,0.134,0.077,0.019,0.044,0.030,0.044,0.060,0.029,0.022,0.044,0.032,0.010,0.030,0.023,0.020,0.028,0.044,0.022,0.020,0.024,0.084,0.029,0.149,0.128,0.033,0.065,0.032,0.105,0.056,0.025,0.018,0.022,0.021,0.023,0.013,0.052,0.084,0.028,0.021,0.028,0.132,0.029,0.020,0.077,0.034,0.089,0.023,0.052,0.027,0.056,0.017,0.024,0.028,0.027,0.066,0.024,0.029,0.021,0.061,0.010,0.020,0.024,0.151,0.025,0.023,0.027,0.024,0.022,0.021,0.024,0.052,0.028,0.065,0.152,0.023,0.018,0.042,0.049,0.021,0.020,0.020,0.029,0.025,0.023,0.024,0.025,0.024,0.021,0.029,0.154,0.094,0.105,0.066,0.028,0.018,0.152,0.027,0.023,0.134,0.021,0.089,0.017,0.024,0.061,0.027,0.024
0.019,0.088,0.023,0.010,0.019,0.026,0.052,0.062,0.101,0.131,0.073,0.019,0.038,0.030,0.038,0.056,0.027,0.023,0.038,0.027,0.013,0.030,0.023,0.017,0.029,0.038,0.022,0.017,0.018,0.080,0.030,0.146,0.125,0.033,0.062,0.027,0.101,0.052,0.022,0.019,0.023,0.021,0.024,0.010,0.048,0.080,0.029,0.016,0.029,0.129,0.030,0.017,0.073,0.035,0.085,0.024,0.048,0.026,0.052,0.016,0.023,0.029,0.027,0.062,0.025,0.030,0.019,0.057,0.013,0.017,0.025,0.148,0.026,0.024,0.026,0.025,0.023,0.021,0.018,0.048,0.028,0.062,0.149,0.025,0.019,0.043,0.045,0.020,0.017,0.017,0.030,0.026,0.025,0.018,0.026,0.018,0.020,0.022,0.151,0.090,0.101,0.062,0.029,0.016,0.149,0.026,0.024,0.131,0.019,0.085,0.016,0.025,0.057,0.027,0.025
0.012,0.076,0.013,0.019,0.012,0.011,0.039,0.050,0.090,0.119,0.061,0.012,0.027,0.010,0.027,0.043,0.014,0.013,0.027,0.020,0.021,0.010,0.011,0.017,0.013,0.027,0.010,0.014,0.016,0.068,0.018,0.134,0.113,0.011,0.051,0.020,0.090,0.039,0.016,0.017,0.013,0.015,0.012,0.021,0.038,0.068,0.013,0.023,0.010,0.117,0.018,0.014,0.061,0.015,0.073,0.012,0.038,0.013,0.039,0.019,0.012,0.013,0.011,0.050,0.014,0.018,0.017,0.044,0.021,0.014,0.014,0.136,0.018,0.012,0.013,0.014,0.013,0.015,0.013,0.038,0.017,0.051,0.137,0.012,0.017,0.022,0.035,0.012,0.014,0.017,0.018,0.018,0.012,0.013,0.011,0.016,0.012,0.023,0.139,0.078,0.090,0.050,0.010,0.016,0.137,0.017,0.012,0.119,0.017,0.073,0.019,0.014,0.044,0.011,0.014
0.015,0.079,0.016,0.018,0.015,0.012,0.041,0.053,0.092,0.122,0.063,0.015,0.029,0.020,0.029,0.046,0.016,0.016,0.029,0.017,0.021,0.020,0.012,0.019,0.019,0.029,0.012,0.011,0.017,0.071,0.022,0.137,0.115,0.023,0.053,0.017,0.092,0.041,0.013,0.018,0.016,0.018,0.015,0.023,0.038,0.071,0.019,0.020,0.018,0.120,0.022,0.011,0.063,0.025,0.076,0.015,0.038,0.017,0.041,0.016,0.016,0.019,0.016,0.053,0.016,0.022,0.015,0.047,0.021,0.011,0.016,0.139,0.018,0.015,0.017,0.016,0.016,0.018,0.016,0.038,0.019,0.053,0.140,0.017,0.018,0.032,0.036,0.014,0.011,0.019,0.022,0.018,0.017,0.016,0.016,0.017,0.014,0.016,0.142,0.081,0.092,0.053,0.018,0.013,0.140,0.017,0.015,0.122,0.015,0.076,0.016,0.016,0.047,0.016,0.016
0.015,0.077,0.014,0.022,0.015,0.012,0.038,0.054,0.090,0.119,0.064,0.015,0.031,0.011,0.031,0.045,0.011,0.014,0.031,0.022,0.020,0.011,0.012,0.022,0.015,0.031,0.013,0.016,0.021,0.068,0.020,0.134,0.113,0.013,0.051,0.022,0.090,0.038,0.018,0.018,0.014,0.018,0.015,0.026,0.039,0.068,0.015,0.029,0.011,0.117,0.020,0.016,0.064,0.014,0.073,0.015,0.039,0.015,0.038,0.021,0.017,0.015,0.013,0.054,0.016,0.020,0.017,0.046,0.020,0.016,0.016,0.136,0.021,0.015,0.015,0.016,0.014,0.018,0.018,0.039,0.019,0.051,0.137,0.014,0.018,0.020,0.037,0.016,0.016,0.022,0.020,0.021,0.014,0.018,0.012,0.021,0.016,0.024,0.139,0.078,0.090,0.054,0.011,0.016,0.137,0.016,0.015,0.119,0.017,0.073,0.021,0.016,0.046,0.013,0.016
0.013,0.087,0.016,0.012,0.013,0.021,0.050,0.060,0.100,0.130,0.071,0.013,0.037,0.023,0.037,0.054,0.025,0.016,0.037,0.025,0.011,0.023,0.016,0.009,0.021,0.037,0.013,0.015,0.013,0.078,0.022,0.145,0.124,0.025,0.061,0.025,0.100,0.050,0.019,0.012,0.016,0.014,0.016,0.009,0.046,0.078,0.021,0.012,0.021,0.128,0.022,0.015,0.071,0.029,0.083,0.016,0.046,0.020,0.050,0.012,0.015,0.021,0.020,0.060,0.018,0.022,0.016,0.055,0.011,0.015,0.018,0.147,0.019,0.016,0.020,0.018,0.016,0.014,0.012,0.046,0.021,0.061,0.147,0.019,0.012,0.035,0.044,0.013,0.015,0.009,0.022,0.019,0.019,0.012,0.019,0.013,0.013,0.023,0.149,0.088,0.100,0.060,0.021,0.015,0.147,0.023,0.016,0.130,0.016,0.083,0.012,0.018,0.055,0.020,0.018
0.153,0.073,0.148,0.154,0.153,0.144,0.111,0.100,0.059,0.043,0.090,0.153,0.124,0.145,0.124,0.106,0.140,0.148,0.124,0.136,0.157,0.145,0.148,0.154,0.144,0.124,0.150,0.147,0.149,0.084,0.143,0.025,0.048,0.140,0.099,0.136,0.059,0.111,0.143,0.152,0.148,0.149,0.151,0.160,0.114,0.084,0.144,0.150,0.146,0.035,0.143,0.147,0.090,0.142,0.076,0.151,0.114,0.144,0.111,0.149,0.150,0.144,0.143,0.100,0.146,0.143,0.146,0.105,0.157,0.147,0.146,0.024,0.144,0.151,0.144,0.146,0.148,0.149,0.152,0.114,0.144,0.099,0.021,0.149,0.152,0.135,0.116,0.148,0.147,0.154,0.143,0.144,0.149,0.152,0.146,0.149,0.148,0.144,0.017,0.072,0.059,0.100,0.146,0.150,0.021,0.143,0.151,0.043,0.146,0.076,0.149,0.146,0.105,0.143,0.146
0.132,0.054,0.127,0.132,0.132,0.122,0.091,0.080,0.044,0.010,0.069,0.132,0.103,0.124,0.103,0.087,0.119,0.127,0.103,0.114,0.135,0.124,0.126,0.134,0.124,0.103,0.130,0.126,0.128,0.062,0.122,0.059,0.018,0.120,0.081,0.114,0.044,0.091,0.121,0.132,0.127,0.128,0.130,0.139,0.093,0.062,0.124,0.130,0.125,0.019,0.122,0.126,0.069,0.124,0.060,0.130,0.093,0.123,0.091,0.129,0.129,0.124,0.122,0.080,0.125,0.122,0.124,0.086,0.135,0.126,0.125,0.023,0.125,0.130,0.123,0.125,0.127,0.128,0.131,0.093,0.125,0.081,0.028,0.130,0.132,0.115,0.096,0.128,0.126,0.134,0.122,0.125,0.130,0.131,0.126,0.128,0.128,0.122,0.039,0.052,0.044,0.080,0.125,0.128,0.028,0.124,0.130,0.010,0.124,0.060,0.129,0.125,0.086,0.122,0.125
