size_interval,size_2,size_3,size_4
0.0887,0.0005,0.0177,0.0411
0.0430,0.0344,0.0502,0.0637
0.1867,0.2609,0.4533,0.5603
0.1540,0.3021,0.4777,0.5604
0.1805,0.1418,0.2575,0.3316
0.0170,0.0000,0.0000,0.0000
0.1011,0.1578,0.2363,0.2901
0.1459,0.2415,0.4230,0.5433
0.0850,0.0121,0.0381,0.0771
0.0486,0.0385,0.0548,0.0719
0.2527,0.1431,0.2366,0.2895
0.1020,0.1442,0.2499,0.3134
0.1230,0.0286,0.0748,0.1242
0.1680,0.0029,0.0467,0.0953
0.0738,0.0040,0.0178,0.0482
0.0726,0.1964,0.3588,0.4607
0.2123,0.1427,0.2494,0.3598
0.0893,0.1315,0.2518,0.4165
0.2558,0.1304,0.2386,0.3374
0.1274,0.1773,0.2906,0.3575
0.0196,0.0000,0.0000,0.0000
0.3015,0.1993,0.3204,0.4415
0.1274,0.0716,0.1874,0.2922
0.0967,0.0842,0.1253,0.1526
0.1482,0.1755,0.2953,0.3690
0.0791,0.0006,0.0191,0.0442
0.3033,0.2888,0.4569,0.5523
0.1413,0.1661,0.2714,0.3473
0.1234,0.1399,0.2431,0.3123
0.1192,0.0082,0.0285,0.0642
0.0802,0.1721,0.2917,0.3753
0.0980,0.0923,0.1586,0.2037
0.2163,0.2941,0.4601,0.5763
0.2777,0.2020,0.3568,0.4644
0.1373,0.1309,0.2010,0.2774
0.1342,0.2314,0.3900,0.5166
0.1952,0.1974,0.3210,0.3926
0.2206,0.2191,0.3699,0.4490
0.1404,0.2493,0.3956,0.5007
0.3207,0.3288,0.5064,0.5920
0.0828,0.1107,0.2053,0.3006
0.1566,0.0803,0.1423,0.1984
