size_interval,size_2,size_3,size_4
0.1000,0.0516,0.0855,0.1272
0.0558,0.0525,0.0804,0.1017
0.0424,0.2532,0.4232,0.5252
0.0492,0.3027,0.4817,0.5669
0.0231,0.1385,0.2371,0.3066
0.0989,0.0265,0.0398,0.0526
0.1049,0.1893,0.2847,0.3512
0.0670,0.2661,0.4460,0.5529
0.0875,0.0388,0.0701,0.1095
0.0831,0.0854,0.1322,0.1721
0.3070,0.3593,0.4776,0.5554
0.0989,0.1588,0.2686,0.3458
0.2070,0.0988,0.1632,0.2276
0.3231,0.1667,0.2384,0.3081
0.1437,0.0364,0.0582,0.0863
0.0383,0.1924,0.3357,0.4350
0.1200,0.1270,0.2187,0.2854
0.1623,0.2415,0.3929,0.5299
0.1915,0.1922,0.3063,0.3903
0.0939,0.1448,0.2424,0.2990
0.0740,0.0238,0.0363,0.0484
0.0310,0.1535,0.2855,0.3916
0.0146,0.0828,0.1725,0.2459
0.0569,0.0776,0.1196,0.1492
0.1253,0.1541,0.1988,0.2276
0.3235,0.5005,0.6079,0.6612
0.1087,0.2630,0.4216,0.5178
0.1180,0.2201,0.3608,0.4519
0.1347,0.1908,0.2949,0.3688
0.2415,0.2059,0.2982,0.3861
0.0541,0.1707,0.2863,0.3660
0.4963,0.4920,0.5992,0.6514
0.2407,0.3078,0.4558,0.5532
0.1139,0.2711,0.4091,0.4944
0.4735,0.5366,0.6400,0.6815
0.1688,0.2615,0.4084,0.5011
0.1282,0.1945,0.3153,0.3948
0.1908,0.4208,0.5604,0.6411
0.1561,0.2439,0.3913,0.4811
0.2454,0.3763,0.5257,0.6041
0.1784,0.2485,0.3829,0.5011
0.5094,0.6499,0.6912,0.6931
