0.001,0.063,0.080,0.068,0.061,0.064,0.061,0.090,0.001,0.002,0.064,0.083,0.065,0.075,0.001,0.060,0.064,0.104,0.063,0.038,0.064,0.029,0.122,0.024,0.063,0.128,0.062,0.085,0.040,0.025,0.084,0.097,0.092,0.057,0.068,0.063,0.047,0.128,0.061,0.063,0.104,0.097
0.062,0.007,0.129,0.061,0.009,0.014,0.027,0.081,0.062,0.059,0.013,0.048,0.010,0.028,0.061,0.110,0.013,0.153,0.011,0.087,0.014,0.037,0.171,0.078,0.007,0.149,0.111,0.055,0.086,0.075,0.049,0.081,0.141,0.106,0.061,0.113,0.097,0.149,0.110,0.094,0.153,0.081
0.086,0.129,0.007,0.075,0.143,0.150,0.109,0.059,0.086,0.086,0.149,0.089,0.133,0.115,0.086,0.027,0.149,0.022,0.147,0.049,0.150,0.103,0.061,0.062,0.129,0.057,0.025,0.083,0.050,0.062,0.088,0.068,0.016,0.030,0.075,0.024,0.039,0.057,0.027,0.042,0.022,0.068
0.069,0.054,0.069,0.001,0.068,0.075,0.034,0.021,0.069,0.068,0.074,0.026,0.058,0.040,0.069,0.062,0.074,0.093,0.072,0.050,0.075,0.056,0.122,0.062,0.054,0.091,0.053,0.027,0.045,0.046,0.026,0.036,0.081,0.052,0.001,0.061,0.050,0.091,0.059,0.035,0.093,0.036
0.063,0.020,0.142,0.074,0.005,0.003,0.039,0.093,0.063,0.063,0.004,0.060,0.016,0.033,0.063,0.122,0.003,0.166,0.004,0.100,0.003,0.046,0.184,0.086,0.020,0.161,0.124,0.067,0.099,0.087,0.062,0.093,0.154,0.119,0.074,0.125,0.109,0.161,0.122,0.106,0.166,0.093
0.065,0.021,0.144,0.075,0.007,0.001,0.041,0.095,0.065,0.065,0.005,0.062,0.017,0.035,0.065,0.124,0.004,0.168,0.005,0.101,0.001,0.048,0.186,0.088,0.021,0.163,0.126,0.069,0.101,0.089,0.064,0.095,0.156,0.121,0.075,0.127,0.111,0.163,0.124,0.108,0.168,0.095
0.056,0.014,0.113,0.045,0.024,0.030,0.011,0.065,0.056,0.054,0.029,0.032,0.014,0.021,0.055,0.093,0.029,0.137,0.027,0.071,0.030,0.032,0.155,0.063,0.014,0.133,0.095,0.039,0.070,0.058,0.033,0.065,0.125,0.090,0.045,0.097,0.081,0.133,0.094,0.078,0.137,0.065
0.088,0.074,0.051,0.023,0.088,0.095,0.054,0.005,0.088,0.087,0.094,0.044,0.078,0.060,0.088,0.045,0.094,0.073,0.092,0.068,0.095,0.075,0.103,0.081,0.074,0.075,0.051,0.039,0.064,0.064,0.043,0.025,0.061,0.048,0.023,0.042,0.058,0.075,0.044,0.038,0.073,0.025
0.002,0.066,0.078,0.067,0.063,0.066,0.062,0.088,0.002,0.004,0.066,0.084,0.067,0.076,0.002,0.058,0.066,0.102,0.065,0.036,0.066,0.030,0.121,0.022,0.066,0.127,0.060,0.085,0.038,0.023,0.085,0.096,0.090,0.055,0.067,0.061,0.045,0.127,0.059,0.062,0.102,0.096
0.002,0.064,0.080,0.069,0.061,0.063,0.062,0.090,0.002,0.002,0.063,0.084,0.065,0.075,0.002,0.061,0.063,0.104,0.063,0.038,0.063,0.029,0.122,0.025,0.064,0.128,0.062,0.085,0.040,0.026,0.085,0.097,0.092,0.057,0.069,0.064,0.048,0.128,0.061,0.064,0.104,0.097
0.063,0.020,0.142,0.074,0.005,0.003,0.039,0.093,0.063,0.063,0.004,0.060,0.016,0.033,0.063,0.122,0.003,0.166,0.004,0.100,0.003,0.046,0.184,0.086,0.020,0.161,0.124,0.067,0.099,0.087,0.062,0.093,0.154,0.119,0.074,0.125,0.109,0.161,0.123,0.106,0.166,0.093
0.085,0.045,0.084,0.028,0.060,0.066,0.026,0.037,0.085,0.084,0.066,0.006,0.050,0.032,0.085,0.077,0.066,0.103,0.063,0.073,0.066,0.063,0.135,0.085,0.045,0.098,0.077,0.003,0.070,0.065,0.004,0.030,0.096,0.075,0.028,0.077,0.072,0.098,0.075,0.059,0.103,0.030
0.063,0.020,0.142,0.074,0.006,0.002,0.040,0.094,0.063,0.063,0.004,0.061,0.016,0.034,0.063,0.123,0.003,0.166,0.004,0.100,0.002,0.046,0.184,0.087,0.020,0.162,0.124,0.068,0.099,0.087,0.062,0.094,0.154,0.119,0.074,0.126,0.110,0.162,0.123,0.107,0.166,0.094
0.063,0.020,0.142,0.074,0.006,0.002,0.040,0.094,0.063,0.063,0.004,0.061,0.016,0.034,0.063,0.123,0.003,0.166,0.004,0.100,0.002,0.046,0.184,0.087,0.020,0.162,0.124,0.068,0.099,0.087,0.062,0.094,0.154,0.119,0.074,0.126,0.110,0.162,0.123,0.107,0.166,0.094
0.002,0.064,0.081,0.069,0.062,0.064,0.062,0.091,0.002,0.003,0.064,0.084,0.066,0.076,0.002,0.061,0.064,0.104,0.064,0.038,0.064,0.030,0.123,0.025,0.064,0.129,0.062,0.086,0.041,0.026,0.085,0.098,0.092,0.057,0.069,0.064,0.048,0.129,0.061,0.064,0.104,0.098
0.058,0.101,0.023,0.058,0.115,0.122,0.082,0.049,0.058,0.058,0.121,0.078,0.105,0.092,0.058,0.003,0.121,0.047,0.119,0.021,0.122,0.075,0.069,0.034,0.101,0.084,0.019,0.073,0.022,0.034,0.077,0.063,0.035,0.016,0.058,0.006,0.014,0.084,0.005,0.027,0.047,0.063
0.066,0.022,0.145,0.076,0.008,0.003,0.042,0.096,0.066,0.066,0.002,0.063,0.018,0.036,0.066,0.125,0.002,0.169,0.005,0.102,0.003,0.049,0.187,0.089,0.022,0.164,0.127,0.070,0.102,0.090,0.065,0.096,0.157,0.122,0.076,0.128,0.112,0.164,0.125,0.109,0.169,0.096
0.106,0.150,0.027,0.096,0.164,0.170,0.130,0.076,0.106,0.106,0.170,0.110,0.154,0.136,0.106,0.047,0.170,0.005,0.167,0.070,0.170,0.123,0.045,0.083,0.150,0.052,0.045,0.105,0.070,0.082,0.108,0.090,0.015,0.050,0.096,0.044,0.060,0.052,0.047,0.063,0.005,0.090
