0.012,0.037,0.084,0.028,0.092,0.128,0.030,0.031,0.012,0.314,0.097,0.041,0.134,0.123,0.040,0.075,0.102,0.060,0.104,0.074,0.128,0.361,0.349,0.075,0.037,0.094,0.054,0.083,0.069,0.010,0.043,0.113,0.064,0.056,0.028,0.070,0.062,0.094,0.070,0.036,0.060,0.113
0.031,0.007,0.113,0.023,0.118,0.164,0.018,0.059,0.031,0.352,0.127,0.024,0.164,0.152,0.073,0.112,0.133,0.096,0.133,0.112,0.164,0.393,0.384,0.112,0.007,0.100,0.088,0.057,0.105,0.044,0.027,0.090,0.100,0.091,0.023,0.107,0.097,0.100,0.107,0.064,0.096,0.090
0.092,0.103,0.007,0.097,0.040,0.061,0.092,0.055,0.092,0.245,0.051,0.113,0.058,0.050,0.074,0.041,0.050,0.030,0.047,0.031,0.061,0.287,0.281,0.026,0.103,0.074,0.044,0.089,0.020,0.075,0.117,0.105,0.030,0.038,0.097,0.030,0.028,0.074,0.029,0.058,0.030,0.105
0.020,0.019,0.100,0.004,0.106,0.147,0.014,0.045,0.020,0.335,0.114,0.018,0.151,0.140,0.058,0.097,0.119,0.080,0.119,0.095,0.147,0.380,0.370,0.095,0.019,0.091,0.071,0.065,0.089,0.031,0.022,0.097,0.084,0.074,0.004,0.091,0.080,0.091,0.091,0.047,0.080,0.097
0.109,0.125,0.048,0.117,0.018,0.036,0.113,0.075,0.109,0.223,0.016,0.131,0.038,0.029,0.096,0.066,0.014,0.059,0.019,0.058,0.036,0.267,0.258,0.054,0.125,0.080,0.075,0.112,0.052,0.093,0.135,0.113,0.058,0.069,0.117,0.058,0.060,0.080,0.057,0.088,0.059,0.113
0.144,0.165,0.066,0.154,0.055,0.009,0.153,0.114,0.144,0.186,0.044,0.171,0.021,0.026,0.115,0.069,0.038,0.077,0.038,0.063,0.009,0.231,0.221,0.062,0.165,0.102,0.100,0.135,0.072,0.128,0.174,0.131,0.073,0.094,0.154,0.068,0.083,0.102,0.067,0.117,0.077,0.131
0.016,0.019,0.096,0.015,0.102,0.143,0.011,0.039,0.016,0.331,0.109,0.026,0.147,0.135,0.052,0.091,0.115,0.075,0.115,0.091,0.143,0.375,0.364,0.091,0.019,0.087,0.067,0.068,0.084,0.023,0.027,0.100,0.079,0.070,0.015,0.086,0.076,0.087,0.087,0.043,0.075,0.100
0.039,0.057,0.061,0.050,0.068,0.109,0.047,0.006,0.039,0.297,0.074,0.060,0.112,0.100,0.061,0.057,0.080,0.041,0.080,0.056,0.109,0.340,0.330,0.057,0.057,0.087,0.041,0.092,0.050,0.027,0.062,0.115,0.045,0.040,0.050,0.052,0.042,0.087,0.052,0.033,0.041,0.115
0.006,0.027,0.091,0.023,0.100,0.136,0.023,0.039,0.006,0.322,0.105,0.034,0.142,0.131,0.044,0.084,0.110,0.068,0.112,0.082,0.136,0.368,0.357,0.083,0.027,0.094,0.062,0.079,0.077,0.016,0.036,0.111,0.072,0.064,0.023,0.078,0.070,0.094,0.078,0.042,0.068,0.111
0.369,0.390,0.290,0.380,0.282,0.236,0.379,0.340,0.369,0.048,0.271,0.396,0.238,0.250,0.324,0.287,0.266,0.303,0.266,0.286,0.236,0.071,0.015,0.286,0.390,0.316,0.321,0.353,0.297,0.354,0.399,0.334,0.299,0.317,0.380,0.291,0.307,0.316,0.291,0.341,0.303,0.334
0.111,0.130,0.078,0.120,0.049,0.052,0.119,0.086,0.111,0.223,0.038,0.136,0.047,0.042,0.083,0.105,0.040,0.087,0.040,0.095,0.052,0.261,0.258,0.090,0.130,0.062,0.077,0.098,0.071,0.095,0.140,0.091,0.089,0.074,0.120,0.095,0.071,0.062,0.093,0.080,0.087,0.091
0.026,0.023,0.113,0.018,0.120,0.160,0.026,0.056,0.026,0.348,0.127,0.010,0.165,0.153,0.069,0.108,0.132,0.092,0.133,0.108,0.160,0.392,0.382,0.108,0.023,0.106,0.084,0.078,0.101,0.040,0.010,0.110,0.096,0.087,0.018,0.103,0.093,0.106,0.103,0.060,0.092,0.110
0.167,0.183,0.082,0.173,0.071,0.031,0.171,0.132,0.167,0.167,0.063,0.190,0.030,0.043,0.139,0.092,0.057,0.097,0.056,0.087,0.031,0.210,0.203,0.086,0.183,0.119,0.119,0.153,0.091,0.150,0.194,0.148,0.094,0.113,0.173,0.090,0.102,0.119,0.090,0.135,0.097,0.148
