0.001,0.189,0.151,0.144,0.176,0.029,0.121,0.045,0.133,0.055,0.038,0.209,0.135,0.039,0.101,0.043,0.168,0.173,0.254,0.096,0.127,0.048,0.149,0.029,0.155,0.229,0.240,0.150,0.065,0.043
0.188,0.000,0.184,0.188,0.045,0.185,0.120,0.173,0.190,0.167,0.165,0.068,0.180,0.208,0.153,0.219,0.127,0.075,0.211,0.129,0.182,0.179,0.186,0.172,0.184,0.186,0.199,0.184,0.222,0.167
0.134,0.184,0.021,0.012,0.201,0.141,0.080,0.154,0.016,0.116,0.148,0.158,0.011,0.153,0.068,0.167,0.086,0.133,0.123,0.093,0.019,0.109,0.016,0.126,0.024,0.100,0.111,0.020,0.176,0.136
0.138,0.181,0.026,0.010,0.198,0.141,0.078,0.152,0.021,0.113,0.145,0.156,0.013,0.156,0.070,0.170,0.085,0.132,0.120,0.090,0.023,0.106,0.016,0.127,0.024,0.096,0.108,0.025,0.180,0.131
0.174,0.046,0.205,0.206,0.001,0.171,0.123,0.155,0.206,0.158,0.149,0.106,0.196,0.195,0.160,0.203,0.165,0.098,0.253,0.118,0.199,0.173,0.206,0.161,0.205,0.227,0.241,0.205,0.206,0.161
0.029,0.185,0.160,0.147,0.172,0.000,0.126,0.051,0.139,0.057,0.033,0.206,0.140,0.041,0.110,0.046,0.174,0.171,0.260,0.102,0.130,0.048,0.154,0.036,0.162,0.235,0.247,0.159,0.067,0.037
0.120,0.120,0.084,0.085,0.123,0.126,0.000,0.129,0.085,0.083,0.122,0.126,0.075,0.145,0.056,0.156,0.051,0.113,0.137,0.026,0.078,0.088,0.085,0.102,0.083,0.111,0.125,0.083,0.165,0.115
0.044,0.173,0.170,0.160,0.156,0.051,0.129,0.000,0.153,0.067,0.035,0.202,0.153,0.067,0.113,0.066,0.176,0.159,0.263,0.104,0.146,0.069,0.165,0.048,0.170,0.237,0.250,0.169,0.077,0.058
0.132,0.190,0.034,0.023,0.206,0.139,0.085,0.153,0.000,0.117,0.148,0.169,0.018,0.139,0.070,0.155,0.097,0.143,0.137,0.097,0.015,0.110,0.030,0.127,0.038,0.113,0.123,0.033,0.165,0.138
0.054,0.167,0.127,0.122,0.159,0.057,0.083,0.067,0.117,0.000,0.058,0.173,0.113,0.080,0.090,0.092,0.128,0.150,0.213,0.062,0.110,0.035,0.125,0.041,0.127,0.188,0.198,0.127,0.112,0.060
0.037,0.165,0.165,0.154,0.149,0.033,0.122,0.034,0.148,0.058,0.000,0.189,0.148,0.058,0.117,0.059,0.170,0.152,0.257,0.097,0.140,0.055,0.160,0.038,0.165,0.231,0.243,0.164,0.073,0.038
0.212,0.066,0.149,0.160,0.104,0.210,0.131,0.206,0.173,0.178,0.193,0.006,0.159,0.233,0.147,0.246,0.091,0.074,0.155,0.141,0.166,0.191,0.156,0.193,0.150,0.132,0.144,0.149,0.251,0.194
0.133,0.180,0.023,0.014,0.196,0.139,0.075,0.152,0.016,0.113,0.146,0.157,0.002,0.150,0.065,0.165,0.085,0.134,0.125,0.088,0.019,0.106,0.017,0.125,0.025,0.100,0.113,0.022,0.175,0.134
0.040,0.208,0.171,0.160,0.196,0.041,0.145,0.066,0.140,0.080,0.057,0.229,0.152,0.001,0.121,0.026,0.191,0.190,0.275,0.123,0.138,0.067,0.168,0.058,0.176,0.251,0.260,0.170,0.051,0.058
0.100,0.154,0.072,0.075,0.160,0.110,0.056,0.113,0.070,0.090,0.117,0.144,0.065,0.120,0.000,0.130,0.079,0.113,0.159,0.054,0.070,0.090,0.075,0.091,0.074,0.134,0.147,0.072,0.141,0.126
0.044,0.219,0.186,0.174,0.204,0.046,0.156,0.066,0.155,0.092,0.059,0.242,0.166,0.026,0.130,0.000,0.203,0.204,0.289,0.131,0.151,0.076,0.182,0.066,0.190,0.264,0.275,0.185,0.034,0.063
0.167,0.127,0.078,0.088,0.164,0.174,0.051,0.176,0.097,0.128,0.170,0.088,0.084,0.190,0.079,0.203,0.000,0.105,0.089,0.074,0.092,0.132,0.084,0.149,0.079,0.063,0.077,0.078,0.212,0.159
