0.001,0.114,0.104,0.098,0.089,0.023,0.092,0.029,0.086,0.040,0.023,0.142,0.089,0.033,0.080,0.036,0.137,0.122,0.207,0.075,0.081,0.032,0.102,0.024,0.108,0.182,0.193,0.104,0.049,0.037
0.113,0.000,0.070,0.074,0.027,0.116,0.023,0.107,0.076,0.086,0.101,0.030,0.066,0.132,0.063,0.142,0.028,0.041,0.097,0.040,0.068,0.093,0.072,0.097,0.070,0.071,0.085,0.070,0.143,0.096
0.088,0.070,0.021,0.012,0.072,0.091,0.062,0.092,0.016,0.082,0.088,0.072,0.011,0.102,0.043,0.114,0.070,0.046,0.123,0.068,0.019,0.078,0.016,0.082,0.024,0.099,0.111,0.020,0.115,0.084
0.092,0.067,0.025,0.010,0.070,0.092,0.060,0.090,0.020,0.079,0.085,0.071,0.013,0.105,0.045,0.118,0.069,0.045,0.119,0.065,0.023,0.077,0.016,0.084,0.023,0.095,0.107,0.024,0.120,0.080
0.087,0.027,0.076,0.077,0.001,0.090,0.012,0.081,0.076,0.063,0.075,0.057,0.067,0.109,0.055,0.117,0.052,0.052,0.124,0.014,0.070,0.073,0.077,0.073,0.076,0.097,0.112,0.076,0.118,0.078
0.023,0.116,0.110,0.097,0.091,0.000,0.094,0.035,0.089,0.040,0.022,0.145,0.091,0.031,0.085,0.035,0.139,0.126,0.210,0.077,0.081,0.028,0.104,0.029,0.112,0.184,0.197,0.109,0.050,0.030
0.091,0.023,0.065,0.067,0.012,0.094,0.000,0.085,0.067,0.065,0.079,0.052,0.057,0.111,0.047,0.120,0.047,0.042,0.119,0.018,0.060,0.075,0.067,0.076,0.065,0.092,0.107,0.065,0.121,0.081
0.028,0.107,0.108,0.099,0.081,0.035,0.085,0.000,0.091,0.037,0.025,0.135,0.092,0.053,0.076,0.053,0.130,0.116,0.201,0.067,0.085,0.037,0.104,0.029,0.109,0.175,0.188,0.107,0.063,0.047
0.086,0.076,0.033,0.022,0.076,0.089,0.067,0.091,0.000,0.083,0.087,0.083,0.017,0.087,0.045,0.101,0.081,0.055,0.136,0.071,0.014,0.079,0.030,0.083,0.037,0.113,0.122,0.032,0.104,0.085
0.039,0.086,0.094,0.088,0.063,0.040,0.065,0.037,0.083,0.000,0.030,0.114,0.080,0.060,0.079,0.071,0.109,0.095,0.179,0.052,0.077,0.028,0.091,0.030,0.094,0.153,0.164,0.093,0.082,0.040
0.023,0.101,0.104,0.094,0.076,0.022,0.079,0.025,0.087,0.030,0.000,0.130,0.087,0.043,0.081,0.046,0.124,0.111,0.196,0.062,0.080,0.025,0.099,0.021,0.104,0.170,0.182,0.103,0.058,0.028
0.143,0.032,0.060,0.071,0.058,0.146,0.054,0.137,0.083,0.116,0.132,0.002,0.070,0.161,0.076,0.173,0.012,0.037,0.066,0.071,0.078,0.123,0.067,0.128,0.061,0.043,0.055,0.060,0.174,0.127
0.087,0.066,0.023,0.014,0.067,0.089,0.057,0.091,0.016,0.079,0.086,0.071,0.002,0.099,0.040,0.112,0.069,0.046,0.124,0.063,0.018,0.075,0.017,0.081,0.025,0.099,0.113,0.022,0.114,0.082
0.034,0.132,0.120,0.108,0.109,0.031,0.111,0.053,0.087,0.060,0.043,0.160,0.101,0.000,0.094,0.022,0.154,0.138,0.223,0.096,0.086,0.045,0.116,0.047,0.124,0.198,0.208,0.119,0.040,0.051
0.079,0.063,0.047,0.050,0.056,0.085,0.047,0.076,0.045,0.079,0.082,0.076,0.040,0.094,0.000,0.102,0.069,0.049,0.134,0.050,0.045,0.082,0.050,0.073,0.049,0.108,0.121,0.047,0.105,0.099
0.036,0.142,0.133,0.121,0.118,0.035,0.120,0.053,0.101,0.070,0.046,0.171,0.113,0.022,0.102,0.000,0.165,0.151,0.236,0.103,0.098,0.053,0.129,0.054,0.137,0.210,0.222,0.132,0.025,0.056
