size_interval,size_2,size_3,size_4
0.0001,0.0001,0.0063,0.0126
0.0045,0.0053,0.0086,0.0114
0.0018,0.0000,0.0000,0.0000
0.0004,0.0000,0.0000,0.0000
0.0075,0.0074,0.0116,0.0153
0.0002,0.0062,0.0149,0.0201
0.0124,0.0088,0.0156,0.0216
0.0008,0.0060,0.0153,0.0210
0.0051,0.0001,0.0002,0.0003
0.0004,0.0137,0.0204,0.0273
0.0003,0.0058,0.0165,0.0222
0.0177,0.0118,0.0167,0.0197
0.0029,0.0002,0.0003,0.0003
0.0001,0.0056,0.0136,0.0181
0.0003,0.0001,0.0030,0.0058
0.0197,0.0134,0.0262,0.0309
0.0534,0.0536,0.0558,0.0611
0.0633,0.0644,0.0681,0.0722
0.0007,0.0000,0.0000,0.0000
0.0062,0.0050,0.0106,0.0150
0.0015,0.0000,0.0000,0.0000
0.0002,0.0044,0.0087,0.0169
0.0069,0.0001,0.0002,0.0003
0.0001,0.0079,0.0209,0.0280
0.0037,0.0001,0.0002,0.0023
0.0006,0.0000,0.0000,0.0000
0.0003,0.0000,0.0000,0.0000
0.0017,0.0000,0.0000,0.0000
0.0292,0.0254,0.0396,0.0451
0.0000,0.0113,0.0169,0.0226
