size_interval,size_2,size_3,size_4
0.2956,0.1564,0.4585,0.6485
0.3473,0.2332,0.5595,0.6713
0.2540,0.1611,0.5040,0.6741
0.3200,0.2222,0.5445,0.6699
0.3172,0.1645,0.4701,0.6640
0.3301,0.1628,0.4705,0.6657
0.2966,0.1507,0.4680,0.6670
0.3031,0.1584,0.4634,0.6644
0.2379,0.2092,0.5278,0.6654
0.2783,0.1493,0.4458,0.6576
0.4522,0.5405,0.6384,0.6788
0.3750,0.2302,0.5515,0.6628
0.3223,0.1776,0.4807,0.6626
0.3461,0.2085,0.5182,0.6632
0.3950,0.2515,0.5575,0.6715
0.2870,0.2051,0.5394,0.6613
0.3650,0.2505,0.5701,0.6789
0.2857,0.1674,0.4718,0.6604
0.3213,0.1717,0.4827,0.6649
0.3424,0.2314,0.5434,0.6667
0.2500,0.1123,0.3799,0.6342
0.3747,0.2565,0.5593,0.6637
0.3074,0.1953,0.5179,0.6616
0.3400,0.1708,0.5056,0.6779
0.1743,0.1292,0.1952,0.2626
0.3569,0.2294,0.5494,0.6676
0.3679,0.2136,0.5281,0.6698
0.3203,0.1634,0.4817,0.6657
0.2815,0.1543,0.4513,0.6589
0.3579,0.2159,0.5326,0.6602
0.3144,0.1673,0.4609,0.6603
0.3001,0.2159,0.5426,0.6708
0.3211,0.2028,0.5031,0.6529
0.4923,0.5044,0.6144,0.6682
0.3487,0.2575,0.5582,0.6682
0.3137,0.1636,0.4864,0.6668
0.2848,0.1518,0.4326,0.6530
0.3051,0.1687,0.4689,0.6582
0.2929,0.1611,0.4733,0.6596
0.2618,0.1831,0.5202,0.6666
0.1312,0.1352,0.1997,0.2599
0.2889,0.1604,0.4288,0.6494
0.2967,0.1449,0.4798,0.6678
0.3107,0.1483,0.4443,0.6412
0.3360,0.2007,0.5409,0.6700
0.0619,0.3217,0.5058,0.6194
0.0665,0.2501,0.4832,0.6154
0.3244,0.2135,0.5482,0.6739
0.0774,0.3528,0.6185,0.6891
0.3736,0.2480,0.5545,0.6719
0.4361,0.4629,0.5792,0.6475
0.1055,0.2210,0.5441,0.6622
0.0595,0.2519,0.5434,0.6708
0.0968,0.1777,0.2938,0.4374
0.5778,0.5220,0.6354,0.6812
0.0848,0.2420,0.4627,0.6054
