size_interval,size_2,size_3,size_4
0.4206,0.3804,0.5685,0.6319
0.4434,0.4452,0.5720,0.6359
0.3112,0.2307,0.4019,0.5082
0.4025,0.3648,0.5548,0.6193
0.3161,0.2376,0.3993,0.5373
0.3120,0.2041,0.3707,0.4901
0.4326,0.3678,0.5563,0.6278
0.4169,0.4162,0.5734,0.6308
0.3139,0.2435,0.4252,0.5348
0.2950,0.2048,0.3578,0.4698
0.4442,0.3653,0.5618,0.6269
0.4216,0.3584,0.5652,0.6395
0.4515,0.3729,0.5534,0.6213
0.4427,0.4297,0.5785,0.6460
0.3805,0.3733,0.5380,0.6142
0.5018,0.3377,0.6189,0.6782
0.5381,0.4660,0.6203,0.6684
0.3536,0.1999,0.3923,0.5048
0.4148,0.4149,0.5590,0.6200
0.5652,0.4856,0.6602,0.6915
0.4008,0.3531,0.5354,0.6136
0.1561,0.0376,0.0970,0.1805
0.5172,0.4156,0.6393,0.6874
0.5655,0.5290,0.6675,0.6931
0.4386,0.3863,0.5643,0.6359
0.2751,0.1961,0.3453,0.4472
0.2299,0.0248,0.0968,0.1790
0.3106,0.2194,0.3767,0.4845
0.2876,0.2325,0.4032,0.5246
0.4164,0.4268,0.5657,0.6257
0.2849,0.1948,0.3181,0.4195
0.3951,0.3418,0.5297,0.6073
0.3658,0.3681,0.5111,0.5876
0.3721,0.3941,0.5435,0.6098
0.3822,0.4002,0.5589,0.6249
0.3840,0.4045,0.5405,0.6036
0.3351,0.2264,0.3942,0.5073
0.4121,0.4405,0.5892,0.6437
0.3365,0.2392,0.4155,0.5323
0.4067,0.4224,0.5709,0.6390
0.3159,0.1825,0.3558,0.4756
0.4193,0.3644,0.5364,0.6120
0.4872,0.3580,0.6217,0.6862
0.4207,0.3596,0.5503,0.6273
0.4425,0.3890,0.5689,0.6442
0.4155,0.4235,0.5611,0.6254
0.4100,0.4184,0.5723,0.6368
0.2275,0.0702,0.1891,0.3109
0.4184,0.3792,0.5605,0.6389
0.3000,0.2265,0.3892,0.4978
0.4255,0.3775,0.5650,0.6237
0.3077,0.1970,0.3437,0.4644
0.3998,0.4187,0.5560,0.6273
0.4274,0.4278,0.5657,0.6281
0.3104,0.2122,0.3625,0.4685
0.3576,0.2824,0.4813,0.5795
0.2457,0.2541,0.3767,0.4459
0.4018,0.2644,0.4751,0.6183
0.2928,0.1915,0.3376,0.4454
0.2638,0.1321,0.2644,0.3731
0.2567,0.2064,0.3498,0.4464
0.3001,0.2324,0.4086,0.5020
0.2734,0.2197,0.3340,0.4203
0.1584,0.0281,0.0722,0.1724
0.3242,0.2474,0.4358,0.5664
0.3965,0.1976,0.3603,0.4393
0.4678,0.2447,0.4872,0.6380
0.3376,0.2574,0.4272,0.5320
0.3441,0.2233,0.3819,0.4971
0.2869,0.2282,0.3706,0.4679
0.3356,0.2014,0.3790,0.4977
0.3120,0.2431,0.4032,0.5013
0.1707,0.0869,0.1481,0.1996
0.1719,0.0684,0.1647,0.2526
0.1137,0.0555,0.0874,0.1195
0.1202,0.0391,0.0972,0.1541
0.2241,0.1865,0.2709,0.3537
0.3102,0.1377,0.3059,0.4287
0.1808,0.0184,0.0825,0.1661
0.1262,0.0372,0.0827,0.1205
0.2687,0.1041,0.2527,0.3673
