FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
154,75,346360,0.067921,0.782516,0.714595
228,104,135472,0.557149,0.804909,0.24776
98,93,148003,0.007339,0.821654,0.814315
254,17,589,0.758546,0.829783,0.0712368
226,102,247039,0.552272,0.843394,0.291122
257,69,732,0.779361,0.845514,0.0661534
220,41,269886,0.513882,0.864409,0.350527
192,109,165304,0.303042,0.877834,0.574792
255,63,7435,0.761217,0.878115,0.116898
249,73,50954,0.681768,0.884091,0.202323
261,78,1244,0.816915,0.88415,0.0672345
229,114,347670,0.557959,0.896323,0.338364
58,80,64278,0.003021,0.900405,0.897384
258,62,7833,0.787372,0.903222,0.11585
184,14,288075,0.241952,0.915989,0.674037
264,17,240,0.866408,0.932459,0.0660514
263,98,7123,0.823791,0.934011,0.11022
265,43,644,0.877062,0.94331,0.0662476
239,55,73186,0.607259,0.953624,0.346365
204,106,165643,0.37848,0.957481,0.579001
269,46,695,0.896294,0.963966,0.0676724
270,62,749,0.900764,0.968395,0.0676308
271,16,299,0.901007,0.968685,0.0676778
223,99,236684,0.533102,0.969299,0.436197
273,90,454,0.909785,0.975862,0.0660774
201,67,183516,0.373691,0.981654,0.607963
50,39,103735,0.002763,0.987382,0.984619
275,99,180,0.925134,0.992465,0.0673313
266,45,7106,0.885557,0.995776,0.110219
106,36,107995,0.007925,1.00251,0.994587
253,17,76632,0.750355,1.00296,0.252605
268,29,8015,0.893315,1.00522,0.111904
135,67,341882,0.020013,1.00867,0.988652
272,79,6688,0.905763,1.01805,0.112284
256,102,109560,0.772684,1.01966,0.246978
280,86,561,0.957681,1.02377,0.06609
230,72,256059,0.562129,1.0403,0.478172
114,0,115928,0.008363,1.0514,1.04304
281,55,691,0.989573,1.0572,0.0676258
282,65,437,0.990953,1.05776,0.0668064
234,1,108898,0.581612,1.06101,0.479403
285,42,269,0.993182,1.06182,0.0686361
64,84,221,0.003615,1.06966,1.06605
74,74,530,0.004039,1.07012,1.06608
118,22,459,0.008441,1.07452,1.06608
252,19,292121,0.739095,1.0756,0.336504
75,38,769,0.004071,1.11853,1.11445
77,91,602,0.004165,1.11859,1.11443
81,65,607,0.004244,1.11871,1.11447
70,35,606,0.003874,1.12065,1.11678
111,108,616,0.008192,1.12071,1.11251
89,104,3475,0.005262,1.12089,1.11563
259,62,344314,0.79566,1.13564,0.339977
292,39,418,1.06895,1.13574,0.0667875
267,16,137742,0.892451,1.14222,0.249768
175,39,343680,0.212794,1.14917,0.936374
260,84,227410,0.811796,1.15495,0.343149
162,21,640,0.092092,1.16008,1.06799
56,107,4218,0.002951,1.1622,1.15925
49,1,6162,0.002763,1.16228,1.15951
54,81,2415,0.00285,1.1646,1.16175
296,53,678,1.09834,1.1659,0.0675546
299,81,333,1.11814,1.18425,0.0661034
211,108,165546,0.429452,1.1896,0.760148
301,76,650,1.12501,1.19169,0.066683
302,44,1245,1.12767,1.19404,0.0663644
279,72,68657,0.953273,1.20207,0.248794
303,77,408,1.13469,1.20208,0.0673885
27,25,340737,0.001583,1.20222,1.20064
83,63,8804,0.004364,1.20793,1.20356
72,31,4653,0.003888,1.20898,1.20509
37,53,348203,0.002322,1.20906,1.20674
71,18,147329,0.003887,1.21527,1.21139
306,40,205,1.15132,1.21747,0.066151
164,57,814,0.10318,1.22035,1.11717
307,13,472,1.15385,1.22115,0.0673048
308,60,429,1.16548,1.23164,0.0661653
131,78,255663,0.013644,1.23389,1.22025
288,107,7409,1.03579,1.24058,0.204791
40,85,104863,0.002374,1.25259,1.25022
274,41,140649,0.916136,1.25478,0.338642
57,75,118711,0.002954,1.25752,1.25457
309,101,628,1.18853,1.2578,0.0692722
28,99,68729,0.001626,1.25907,1.25745
90,88,89353,0.005288,1.265,1.25971
310,67,319,1.20368,1.27151,0.0678303
313,44,1276,1.22668,1.2977,0.0710187
13,109,64297,0.000917,1.30249,1.30158
92,98,38607,0.006167,1.31314,1.30697
202,74,323815,0.377162,1.31325,0.936092
283,69,346961,0.991268,1.33092,0.339648
317,21,121,1.30362,1.37275,0.0691307
208,64,151136,0.389601,1.37276,0.983155
318,103,492,1.3084,1.37535,0.0669482
294,94,150044,1.08356,1.37968,0.29613
262,84,600966,0.821675,1.38764,0.565964
22,30,209186,0.00123,1.38808,1.38685
319,77,264,1.32345,1.38952,0.0660632
321,92,775,1.34483,1.41305,0.0682182
323,51,799,1.35762,1.42437,0.0667555
325,33,1073,1.35928,1.42552,0.066235
327,80,644,1.38099,1.44711,0.066116
328,60,688,1.38356,1.44975,0.066196
293,8,293901,1.08345,1.47052,0.387066
326,99,9951,1.36735,1.47772,0.110367
300,29,312117,1.12111,1.49768,0.376568
332,45,7095,1.41462,1.52507,0.110455
333,33,757,1.46382,1.52993,0.0661101
311,55,341926,1.21852,1.5584,0.339875
340,53,531,1.51542,1.58166,0.0662409
339,67,3332,1.51539,1.58188,0.0664943
341,107,3812,1.51625,1.58278,0.0665318
342,16,660,1.52036,1.58721,0.0668423
337,71,6504,1.47945,1.59147,0.112021
69,35,3968,0.003874,1.61031,1.60643
344,9,3695,1.54413,1.61288,0.0687515
295,27,287655,1.09577,1.61538,0.51961
59,107,152193,0.003065,1.62005,1.61698
102,102,123492,0.007728,1.63393,1.62621
345,74,654,1.60097,1.66706,0.0660938
232,39,341917,0.567543,1.67491,1.10737
19,77,180291,0.001133,1.67529,1.67416
329,110,231512,1.38735,1.68183,0.29448
349,21,420,1.62434,1.69551,0.07116
207,64,118359,0.389243,1.69607,1.30683
324,51,217605,1.35768,1.69921,0.341535
350,100,3345,1.62871,1.70005,0.0713415
351,53,996,1.63278,1.7029,0.0701187
334,53,140705,1.47001,1.71605,0.246044
335,53,120243,1.47019,1.71948,0.249298
353,81,741,1.65606,1.72446,0.0684028
320,92,311544,1.34476,1.72602,0.381261
124,48,343831,0.012401,1.72706,1.71466
347,107,7276,1.61461,1.73113,0.116527
354,72,731,1.66429,1.73267,0.0683765
284,69,128529,0.991298,1.74208,0.750782
94,97,346336,0.006667,1.75772,1.75106
276,27,340451,0.93822,1.76588,0.827658
355,103,415,1.71546,1.78159,0.066122
213,44,254623,0.443685,1.78865,1.34497
356,21,271,1.72729,1.79352,0.0662292
297,112,384906,1.10015,1.79676,0.696608
357,91,665,1.74434,1.81044,0.0661015
121,32,257776,0.0093,1.81286,1.80356
358,72,747,1.76058,1.82693,0.0663578
359,55,266,1.77533,1.84156,0.0662238
361,33,496,1.78688,1.85418,0.0673021
362,89,197,1.78748,1.85449,0.0670101
363,57,667,1.7893,1.85539,0.0660962
343,38,341399,1.52363,1.86312,0.339493
364,89,540,1.79942,1.86753,0.0681114
331,29,215244,1.39362,1.87582,0.482203
235,7,275261,0.582557,1.87638,1.29383
244,46,313815,0.633134,1.87803,1.2449
29,44,341243,0.001638,1.88292,1.88128
112,102,174887,0.008328,1.9009,1.89257
352,89,103895,1.65575,1.90287,0.247117
365,21,682,1.84306,1.90916,0.0660949
348,29,189690,1.62289,1.91649,0.293595
152,112,134629,0.061391,1.92134,1.85994
305,80,241434,1.13644,1.92403,0.787596
16,61,340177,0.001023,1.92503,1.92401
366,19,655,1.86809,1.93419,0.0660938
367,1,175,1.86915,1.93519,0.0660436
368,1,2940,1.86915,1.93538,0.0662278
346,40,322671,1.60386,1.93893,0.335068
369,2,156,1.8727,1.93904,0.0663406
141,42,455419,0.025871,1.96101,1.93514
371,55,353,1.89654,1.96263,0.0660878
314,44,96670,1.22671,1.96851,0.741795
85,88,228756,0.004463,1.97807,1.97361
370,81,7824,1.87295,1.98354,0.110585
374,1,646,1.92541,1.99151,0.0661004
372,44,7181,1.89703,2.00725,0.110222
80,51,236878,0.004235,2.0231,2.01886
203,70,347013,0.378184,2.02434,1.64615
107,46,323163,0.007964,2.03221,2.02424
277,74,343772,0.941474,2.04644,1.10497
376,64,1018,1.984,2.05011,0.0661083
304,59,342351,1.13488,2.0554,0.920513
377,19,416,1.99184,2.05794,0.0661021
