FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
871,25,3517,0.441559,0.566405,0.124846
828,63,7474,0.358396,0.566628,0.208232
800,54,6424,0.278569,0.569744,0.291175
840,52,7319,0.368372,0.575606,0.207234
841,52,6974,0.36839,0.57576,0.20737
876,18,1294,0.456127,0.578298,0.122171
877,63,3944,0.458291,0.581191,0.1229
880,112,2712,0.458566,0.582014,0.123448
881,6,312,0.459655,0.582213,0.122558
882,81,2094,0.460164,0.5826,0.122436
884,81,2962,0.460312,0.583228,0.122916
755,58,13639,0.210814,0.584294,0.37348
845,54,9592,0.379237,0.584797,0.20556
888,49,1362,0.463472,0.585683,0.122211
889,49,2909,0.4635,0.58592,0.12242
177,40,67058,0.005257,0.586573,0.581316
891,18,1477,0.465616,0.587679,0.122063
849,8,6064,0.385578,0.59005,0.204472
850,8,4117,0.385771,0.590314,0.204543
892,104,3122,0.470627,0.592413,0.121786
853,71,5794,0.388852,0.592853,0.204001
855,71,8117,0.390575,0.594995,0.20442
358,106,19243,0.010168,0.597636,0.587468
894,54,2406,0.479133,0.600467,0.121334
897,52,4872,0.480019,0.60236,0.122341
722,112,7121,0.146344,0.604533,0.458189
898,108,158,0.483937,0.605637,0.1217
903,8,4241,0.4856,0.608128,0.122528
907,71,4987,0.489684,0.61288,0.123196
816,107,8974,0.328576,0.614691,0.286115
19,89,104894,0.001073,0.616106,0.615033
867,107,8924,0.425606,0.624883,0.199277
912,92,1006,0.509076,0.628712,0.119636
913,0,863,0.513747,0.632422,0.118675
914,102,277,0.518767,0.636281,0.117514
915,12,677,0.519023,0.636561,0.117538
917,97,575,0.52385,0.639587,0.115737
837,100,15490,0.364698,0.639634,0.274936
872,29,6294,0.450169,0.640122,0.189953
873,32,2655,0.450219,0.640264,0.190045
918,17,384,0.527477,0.642653,0.115176
919,86,249,0.53074,0.644885,0.114145
842,104,9474,0.372368,0.645321,0.272953
844,104,22848,0.372617,0.64625,0.273633
885,81,6745,0.460398,0.648316,0.187918
886,100,5997,0.461765,0.648567,0.186802
171,51,52447,0.005013,0.649187,0.644174
921,14,284,0.547154,0.657696,0.110542
893,52,5389,0.478179,0.661881,0.183702
895,54,5471,0.479209,0.66325,0.184041
896,52,7424,0.480019,0.664079,0.18406
922,52,4546,0.555336,0.666484,0.111148
899,31,8819,0.484791,0.66873,0.183939
901,8,8034,0.48549,0.669615,0.184125
902,8,1894,0.485567,0.669874,0.184307
904,8,2371,0.4856,0.670136,0.184536
923,75,377,0.562838,0.674066,0.111228
906,71,5819,0.489648,0.674143,0.184495
908,71,5889,0.489684,0.67452,0.184836
859,44,11129,0.407871,0.674732,0.266861
925,72,677,0.566644,0.677011,0.110367
820,9,7810,0.331413,0.677459,0.346046
926,70,575,0.568406,0.67815,0.109744
34,60,77447,0.001543,0.680514,0.678971
62,86,92058,0.002516,0.687517,0.685001
928,18,1384,0.589578,0.695763,0.106185
874,32,15639,0.450236,0.699846,0.24961
887,25,7971,0.463275,0.708008,0.244733
930,82,2424,0.607753,0.708257,0.100504
209,24,57943,0.006581,0.714115,0.707534
934,114,575,0.624482,0.723639,0.0991572
935,92,294,0.625944,0.725274,0.09933
937,89,777,0.63581,0.733374,0.0975644
938,86,718,0.641373,0.73854,0.0971666
939,13,249,0.641874,0.738849,0.0969752
940,62,447,0.642405,0.739212,0.0968069
941,74,412,0.644654,0.741355,0.0967013
942,95,177,0.649334,0.745985,0.096651
943,50,306,0.651502,0.748107,0.0966052
944,74,347,0.656892,0.753043,0.0961508
945,106,423,0.658539,0.754721,0.0961822
931,104,7092,0.61126,0.769258,0.157998
226,96,26471,0.007022,0.774113,0.767091
341,12,26883,0.009442,0.77764,0.768198
469,103,10753,0.013175,0.781468,0.768293
949,24,594,0.693214,0.789034,0.0958197
905,71,15620,0.4896,0.791643,0.302043
950,57,199,0.699029,0.794712,0.0956832
951,17,349,0.713497,0.808657,0.0951598
954,23,562,0.721016,0.816443,0.0954266
955,14,1449,0.723173,0.818846,0.0956726
956,14,418,0.723254,0.818909,0.0956552
957,113,175,0.724928,0.820543,0.095615
958,70,423,0.726197,0.821662,0.0954651
959,12,1284,0.728928,0.824561,0.0956329
159,35,39383,0.004312,0.824824,0.820512
960,114,423,0.732273,0.827757,0.095484
961,35,518,0.733448,0.828638,0.0951896
193,24,35609,0.006106,0.830502,0.824396
965,65,694,0.744284,0.84242,0.0981364
966,1,823,0.751567,0.850396,0.0988292
0,69,87058,0.000119,0.852806,0.852687
967,28,123,0.754443,0.853211,0.0987677
968,101,394,0.760166,0.860605,0.100439
971,38,563,0.783883,0.883807,0.0999237
144,35,61218,0.00406,0.886491,0.882431
972,78,484,0.787173,0.887096,0.0999233
973,45,184,0.787281,0.887238,0.0999566
974,51,194,0.788183,0.88801,0.0998266
962,8,7174,0.73768,0.895887,0.158207
976,97,163,0.799513,0.901163,0.10165
