size,cdf
10,0.0
20,0.0
30,0.0
40,0.0
50,0.07255932733469721
60,0.07392983707268681
70,0.08794768158756024
80,0.1347880391153041
90,0.16053091316187354
100,0.16302890620175578
110,0.16560259600042232
120,0.17498899408967675
130,0.20779357892283512
140,0.22661219156060822
150,0.2569108152740123
160,0.2674764891843276
170,0.2913110081015452
180,0.2923827148443336
190,0.2932592036302572
200,0.29432891835307756
210,0.301271107941586
220,0.3345557695870343
230,0.3499122515204092
240,0.3600815134570909
250,0.37186829560779516
260,0.3787686527769754
270,0.37997581687758836
280,0.3860235895004612
290,0.39361119355860424
300,0.41082224608219475
310,0.4186867409158909
320,0.4222444885787535
330,0.42518072601159757
340,0.42818668414332184
350,0.4299177494955209
360,0.4350890333324701
370,0.4412304308938393
380,0.4457224359216977
390,0.4488160429320143
400,0.4510988978153517
410,0.45401322302854763
420,0.4566446814062864
430,0.46234385053475774
440,0.4637522086521395
450,0.46622430543243765
460,0.4718159054826366
470,0.47313860674139396
480,0.4757142885600285
490,0.48319033949996315
500,0.48441144774035216
510,0.4863935076085203
520,0.4940627844853517
530,0.49562652016023806
540,0.4990010019860439
550,0.5017818618613833
560,0.5034611346944142
570,0.505132439447573
580,0.5082718629171539
590,0.5095985482158473
600,0.5148515048714848
610,0.518311643555915
620,0.5196502809744165
630,0.5220865213952904
640,0.5325346661274932
650,0.5432796218349293
660,0.5449529186080562
670,0.5500146413467648
680,0.5596500419320203
690,0.5701320510036793
700,0.5728491662400423
710,0.580813262072139
720,0.5844008900345217
730,0.5967155574767481
740,0.5987613619838925
750,0.6024087505453155
760,0.6071198777696548
770,0.6129286079963665
780,0.6153608643773045
790,0.6223010619458449
800,0.6241755527357407
810,0.6263229502612534
820,0.630151612639765
830,0.6325021962020148
840,0.634498200209959
850,0.6373906132035068
860,0.64011768853971
870,0.6430419738527459
880,0.6453387728758593
890,0.6478108696561574
900,0.6498706183030779
910,0.652107656727151
920,0.655747077208702
930,0.6576275440585017
940,0.6601155769985438
950,0.664324715190945
960,0.6666035860343464
970,0.6702708947954494
980,0.6738764509375442
990,0.6763346035780663
1000,0.6787389716794521
