interval,cdf
5e-06,0.003856318214117478
1e-05,0.006139769578998634
2e-05,0.006393264616883169
5e-05,0.010798489409097079
0.0001,0.015517089956806042
0.0002,0.033453360905077084
0.0005,0.21533704859919042
0.001,0.3583122420139083
0.002,0.40864996926123165
0.005,0.45573218149446304
0.01,0.49116360210460763
0.02,0.5305551341727279
0.05,0.5827990642639861
0.1,0.6269391372386207
0.2,0.673901588036631
0.5,0.7240836254181671
1.0,0.8216732269319516
2.0,0.8895460243195554
5.0,0.9281012223650488
10.0,0.9506423204975688
20.0,0.9670576212185327
50.0,0.982530798649091
100.0,0.991979975888031
200.0,0.9957584491692548
500.0,0.9986706480690465
1000.0,0.9994730496850274
2000.0,0.9999481033780708
5000.0,1.0
10000.0,1.0
70000.0,1.0
