0.007,0.050,0.049,0.006,0.048,0.049,0.007,0.047,0.043,0.053,0.009,0.005,0.006,0.053,0.008,0.004,0.113,0.047,0.046,0.124,0.007,0.059,0.008,0.091,0.006,0.050,0.058,0.049,0.053,0.045,0.053,0.007,0.046,0.050,0.103,0.052,0.047,0.058,0.046,0.051,0.051,0.005,0.053,0.008,0.009,0.045,0.039,0.056,0.008,0.023,0.007,0.053,0.046,0.044,0.050,0.046,0.056,0.048,0.048,0.055,0.049,0.045,0.053,0.061,0.047,0.050,0.054,0.044,0.048,0.055,0.050,0.043,0.063,0.061,0.065,0.069,0.052,0.053,0.064,0.069,0.062
0.069,0.015,0.109,0.069,0.105,0.109,0.060,0.020,0.102,0.113,0.062,0.064,0.065,0.013,0.070,0.065,0.050,0.108,0.023,0.061,0.069,0.098,0.063,0.029,0.068,0.109,0.120,0.110,0.115,0.021,0.116,0.063,0.026,0.022,0.040,0.017,0.108,0.012,0.103,0.016,0.110,0.067,0.078,0.070,0.060,0.023,0.030,0.114,0.061,0.086,0.062,0.115,0.030,0.023,0.112,0.108,0.118,0.109,0.105,0.088,0.109,0.107,0.115,0.122,0.108,0.112,0.117,0.105,0.109,0.107,0.111,0.104,0.124,0.094,0.127,0.130,0.115,0.113,0.124,0.130,0.123
0.041,0.084,0.011,0.041,0.008,0.011,0.048,0.080,0.007,0.028,0.051,0.045,0.045,0.086,0.041,0.044,0.149,0.015,0.077,0.160,0.041,0.032,0.049,0.127,0.040,0.010,0.022,0.015,0.017,0.078,0.017,0.049,0.075,0.079,0.139,0.083,0.014,0.091,0.009,0.084,0.016,0.041,0.092,0.040,0.050,0.077,0.069,0.023,0.049,0.030,0.049,0.018,0.071,0.076,0.014,0.014,0.019,0.016,0.009,0.042,0.011,0.010,0.017,0.029,0.013,0.014,0.018,0.009,0.014,0.015,0.016,0.007,0.031,0.036,0.032,0.037,0.016,0.029,0.064,0.037,0.059
0.005,0.050,0.047,0.004,0.047,0.047,0.008,0.046,0.041,0.052,0.011,0.006,0.009,0.052,0.005,0.007,0.114,0.047,0.045,0.126,0.006,0.057,0.009,0.093,0.005,0.047,0.056,0.048,0.051,0.044,0.052,0.009,0.043,0.047,0.104,0.051,0.046,0.057,0.044,0.050,0.050,0.005,0.055,0.007,0.010,0.044,0.037,0.054,0.009,0.021,0.009,0.051,0.042,0.043,0.048,0.046,0.054,0.047,0.047,0.053,0.047,0.044,0.051,0.060,0.046,0.048,0.052,0.042,0.046,0.053,0.049,0.041,0.061,0.058,0.063,0.068,0.050,0.052,0.065,0.068,0.063
0.044,0.088,0.007,0.045,0.003,0.007,0.051,0.084,0.006,0.028,0.053,0.049,0.047,0.090,0.044,0.047,0.151,0.009,0.081,0.163,0.045,0.035,0.051,0.130,0.044,0.007,0.019,0.010,0.014,0.082,0.014,0.051,0.079,0.083,0.141,0.088,0.009,0.095,0.005,0.089,0.011,0.044,0.094,0.043,0.052,0.081,0.074,0.023,0.051,0.034,0.051,0.015,0.075,0.080,0.012,0.009,0.017,0.011,0.004,0.045,0.007,0.007,0.014,0.024,0.008,0.012,0.015,0.007,0.010,0.015,0.011,0.007,0.027,0.039,0.028,0.032,0.013,0.029,0.061,0.032,0.056
0.044,0.085,0.011,0.044,0.007,0.011,0.051,0.081,0.006,0.028,0.051,0.048,0.047,0.087,0.044,0.046,0.148,0.011,0.079,0.159,0.044,0.032,0.050,0.127,0.043,0.010,0.022,0.012,0.017,0.079,0.018,0.050,0.077,0.080,0.138,0.085,0.012,0.093,0.006,0.086,0.012,0.044,0.093,0.043,0.051,0.079,0.071,0.022,0.051,0.035,0.051,0.019,0.073,0.078,0.015,0.012,0.020,0.013,0.006,0.041,0.011,0.009,0.017,0.025,0.010,0.015,0.018,0.009,0.013,0.011,0.013,0.008,0.030,0.036,0.031,0.033,0.017,0.029,0.063,0.033,0.058
0.012,0.047,0.054,0.011,0.053,0.054,0.002,0.044,0.048,0.057,0.006,0.006,0.009,0.048,0.013,0.008,0.108,0.052,0.044,0.119,0.011,0.062,0.005,0.087,0.011,0.055,0.063,0.054,0.058,0.041,0.058,0.005,0.044,0.048,0.098,0.050,0.052,0.054,0.051,0.047,0.056,0.010,0.048,0.012,0.005,0.041,0.037,0.059,0.004,0.028,0.005,0.058,0.045,0.040,0.055,0.052,0.061,0.053,0.054,0.058,0.054,0.050,0.058,0.065,0.052,0.055,0.059,0.048,0.053,0.058,0.055,0.047,0.067,0.064,0.069,0.073,0.057,0.057,0.067,0.073,0.066
0.058,0.004,0.098,0.058,0.094,0.098,0.051,0.008,0.092,0.103,0.054,0.054,0.057,0.005,0.059,0.056,0.062,0.099,0.012,0.072,0.058,0.088,0.054,0.041,0.058,0.097,0.109,0.100,0.104,0.010,0.105,0.054,0.015,0.011,0.052,0.007,0.098,0.005,0.093,0.005,0.100,0.057,0.079,0.060,0.052,0.011,0.019,0.104,0.052,0.075,0.053,0.104,0.019,0.012,0.101,0.098,0.107,0.099,0.095,0.077,0.098,0.097,0.104,0.111,0.098,0.101,0.105,0.094,0.098,0.096,0.101,0.093,0.113,0.083,0.115,0.120,0.104,0.103,0.116,0.120,0.115
0.039,0.088,0.010,0.040,0.008,0.010,0.047,0.084,0.000,0.023,0.047,0.043,0.043,0.090,0.039,0.042,0.151,0.009,0.081,0.162,0.040,0.036,0.046,0.129,0.039,0.011,0.020,0.009,0.015,0.082,0.015,0.045,0.079,0.083,0.140,0.088,0.008,0.095,0.006,0.089,0.012,0.039,0.091,0.039,0.047,0.082,0.074,0.019,0.047,0.030,0.046,0.015,0.076,0.081,0.011,0.008,0.018,0.010,0.008,0.044,0.010,0.006,0.014,0.023,0.007,0.011,0.016,0.005,0.009,0.016,0.010,0.004,0.027,0.039,0.029,0.031,0.014,0.024,0.058,0.031,0.053
0.044,0.097,0.006,0.044,0.010,0.006,0.053,0.093,0.011,0.030,0.055,0.049,0.049,0.100,0.043,0.048,0.162,0.008,0.089,0.173,0.045,0.047,0.053,0.141,0.045,0.006,0.009,0.006,0.006,0.091,0.005,0.053,0.087,0.091,0.152,0.096,0.005,0.104,0.012,0.097,0.008,0.045,0.102,0.044,0.055,0.090,0.082,0.029,0.055,0.031,0.053,0.004,0.083,0.089,0.002,0.005,0.006,0.006,0.010,0.055,0.005,0.008,0.006,0.022,0.007,0.003,0.006,0.007,0.003,0.026,0.006,0.011,0.021,0.051,0.022,0.026,0.007,0.032,0.059,0.026,0.054
